title,keywords,everything,topic,authors,journal,links
ultraviolet light illuminates the avian nature of the berlin archaeopteryx skeleton.,,ultraviolet light illuminates the avian nature of the berlin archaeopteryx skeleton.,EVOLUTION/ANTHROPOLOGY,"Schwarz D, Kundrát M, Tischlinger H, Dyke G, Carney RM,",*Scientific reports*,* [Ultraviolet light illuminates the avian nature of the Berlin Archaeopteryx skeleton.](https://www.ncbi.nlm.nih.gov/pubmed/31019224)
geometric morphometric analysis of the pronotum and elytron in stag beetles: insight into its diversity and evolution.,elytron geometric morphometrics morphological diversity pronotum species richness stag beetle,geometric morphometric analysis of the pronotum and elytron in stag beetles: insight into its diversity and evolution.,EVOLUTION/ANTHROPOLOGY,"Zhang M, Ruan Y, Wan X, Tong Y, Yang X,",*ZooKeys*,* [Geometric morphometric analysis of the pronotum and elytron in stag beetles: insight into its diversity and evolution.](https://www.ncbi.nlm.nih.gov/pubmed/31015774)
the mechanical origins of arm-swinging.,arboreal locomotion bats brachiation primates sloths suspensory locomotion,the mechanical origins of arm-swinging.,EVOLUTION/ANTHROPOLOGY,"Granatosky MC, Schmitt D,",*Journal of human evolution*,* [The mechanical origins of arm-swinging.](https://www.ncbi.nlm.nih.gov/pubmed/31010544)
limited effects of early life manipulations on sex-specific gene expression and behavior in adulthood.,anxiety-like behavior early-life stress environmental enrichment hpa hypolocomotion maternal separation outbred mice postnatal stress sex differences,limited effects of early life manipulations on sex-specific gene expression and behavior in adulthood.,EVOLUTION/ANTHROPOLOGY,"Candemir E, Post A, Dischinger US, Palme R, Slattery DA, O'Leary A, Reif A,",*Behavioural brain research*,* [Limited effects of early life manipulations on sex-specific gene expression and behavior in adulthood.](https://www.ncbi.nlm.nih.gov/pubmed/31034851)
why ruminating ungulates chew sloppily: biomechanics discern a phylogenetic pattern.,,why ruminating ungulates chew sloppily: biomechanics discern a phylogenetic pattern.,EVOLUTION/ANTHROPOLOGY,"Zhou Z, Winkler DE, Fortuny J, Kaiser TM, Marcé-Nogué J,",*PloS one*,* [Why ruminating ungulates chew sloppily: Biomechanics discern a phylogenetic pattern.](https://www.ncbi.nlm.nih.gov/pubmed/30995252)
sex and estrous cycle effects on anxiety- and depression-related phenotypes in a two-hit developmental stress model.,adolescence anxiety depression early life stress epigenetic estrogen gene expression sex difference,sex and estrous cycle effects on anxiety- and depression-related phenotypes in a two-hit developmental stress model.,EVOLUTION/ANTHROPOLOGY,"Jaric I, Rocks D, Cham H, Herchek A, Kundakovic M,",*Frontiers in molecular neuroscience*,* [Sex and Estrous Cycle Effects on Anxiety- and Depression-Related Phenotypes in a Two-Hit Developmental Stress Model.](https://www.ncbi.nlm.nih.gov/pubmed/31031589)
sex and laterality differences in medullary humerus morphology.,humerus laterality medullary canal morphology periosteum sex,sex and laterality differences in medullary humerus morphology.,EVOLUTION/ANTHROPOLOGY,"Drew AJ, Tashjian RZ, Henninger HB, Bachus KN,","*Anatomical record (Hoboken, N.J. : 2007)*",* [Sex and Laterality Differences in Medullary Humerus Morphology.](https://www.ncbi.nlm.nih.gov/pubmed/30989818)
the evolutionary history of the human face.,,the evolutionary history of the human face.,EVOLUTION/ANTHROPOLOGY,"Lacruz RS, Stringer CB, Kimbel WH, Wood B, Harvati K, O'Higgins P, Bromage TG, Arsuaga JL,",*Nature ecology & evolution*,* [The evolutionary history of the human face.](https://www.ncbi.nlm.nih.gov/pubmed/30988489)
gluteus medius activity during gait is altered in individuals with chronic ankle instability: an ultrasound imaging study.,functional ankle instability gait locomotion musculoskeletal ultrasound walking,gluteus medius activity during gait is altered in individuals with chronic ankle instability: an ultrasound imaging study.,GAIT/LOCOMOTION,"DeJong AF, Mangum LC, Hertel J,",*Gait & posture*,* [Gluteus medius activity during gait is altered in individuals with chronic ankle instability: An ultrasound imaging study.](https://www.ncbi.nlm.nih.gov/pubmed/30999270)
can a combination of lifestyle and clinical characteristics explain the presence of foot ulcer in patients with diabetes?,biomechanics diabetic foot diabetic neuropathy diagnosis plantar soft tissue vascular disease,can a combination of lifestyle and clinical characteristics explain the presence of foot ulcer in patients with diabetes?,GAIT/LOCOMOTION,"Naemi R, Chockalingam N, Lutale JK, Abbas ZG,",*Journal of diabetes and its complications*,* [Can a combination of lifestyle and clinical characteristics explain the presence of foot ulcer in patients with diabetes?](https://www.ncbi.nlm.nih.gov/pubmed/31005476)
regression models for the erector spinae muscle (esm) cross-sectional area (csa): asymptomatic populations.,,regression models for the erector spinae muscle (esm) cross-sectional area (csa): asymptomatic populations.,GAIT/LOCOMOTION,"Gungor C, Tang R, Sesek R, Davis G, Gallagher S,",*Journal of biomechanical engineering*,* [Regression models for the erector spinae muscle (ESM) cross-sectional area (CSA): Asymptomatic populations.](https://www.ncbi.nlm.nih.gov/pubmed/31017628)
the influence of childhood obesity on spatio-temporal gait parameters.,children gait obesity,the influence of childhood obesity on spatio-temporal gait parameters.,GAIT/LOCOMOTION,"Montes-Alguacil J, Páez-Moguer J, Jiménez Cebrián AM, Muñoz BÁ, Gijón-Noguerón G, Morales-Asencio JM,",*Gait & posture*,* [The influence of childhood obesity on spatio-temporal gait parameters.](https://www.ncbi.nlm.nih.gov/pubmed/31009919)
ankle power biofeedback attenuates the distal-to-proximal redistribution in older adults.,elderly gait hip plantarflexor push-off,ankle power biofeedback attenuates the distal-to-proximal redistribution in older adults.,GAIT/LOCOMOTION,"Browne MG, Franz JR,",*Gait & posture*,* [Ankle power biofeedback attenuates the distal-to-proximal redistribution in older adults.](https://www.ncbi.nlm.nih.gov/pubmed/31005854)
differences in temporal gait mechanics are associated with decreased perceived ankle joint health in individuals with chronic ankle instability.,biomechanics patient-reported outcomes post-traumatic ankle osteoarthritis,differences in temporal gait mechanics are associated with decreased perceived ankle joint health in individuals with chronic ankle instability.,GAIT/LOCOMOTION,"Kosik KB, Terada M, McCann R, Thomas A, Johnson N, Gribble P,",*Gait & posture*,* [Differences in temporal gait mechanics are associated with decreased perceived ankle joint health in individuals with chronic ankle instability.](https://www.ncbi.nlm.nih.gov/pubmed/30986587)
influence of starvation on walking behavior of bagrada hilaris (hemiptera: pentatomidae).,,influence of starvation on walking behavior of bagrada hilaris (hemiptera: pentatomidae).,GAIT/LOCOMOTION,"Grettenberger IM, Joseph SV,",*PloS one*,* [Influence of starvation on walking behavior of Bagrada hilaris (Hemiptera: Pentatomidae).](https://www.ncbi.nlm.nih.gov/pubmed/30998722)
a biomechanical study of gait initiation in down syndrome.,biomechanics down syndrome gait initiation,a biomechanical study of gait initiation in down syndrome.,GAIT/LOCOMOTION,"Corsi C, Cimolin V, Capodaglio P, Condoluci C, Galli M,",*BMC neurology*,* [A biomechanical study of gait initiation in Down syndrome.](https://www.ncbi.nlm.nih.gov/pubmed/30987596)
the role of hip abductor strength on the frontal plane of gait in subjects with medial knee osteoarthritis.,biomechanical phenomena gait knee osteoarthritis,the role of hip abductor strength on the frontal plane of gait in subjects with medial knee osteoarthritis.,GAIT/LOCOMOTION,"Selistre LFA, Gonçalves GH, Nakagawa TH, Petrella M, Jones RK, Mattiello SM,",*Physiotherapy research international : the journal for researchers and clinicians in physical therapy*,* [The role of hip abductor strength on the frontal plane of gait in subjects with medial knee osteoarthritis.](https://www.ncbi.nlm.nih.gov/pubmed/31012216)
systematic review of pharyngeal and esophageal manometry in healthy or dysphagic older persons (>60 years).,aging dysphagia esophagus manometry pharynx,systematic review of pharyngeal and esophageal manometry in healthy or dysphagic older persons (>60 years).,GAIT/LOCOMOTION,"Cock C, Omari T,","*Geriatrics (Basel, Switzerland)*",* [Systematic Review of Pharyngeal and Esophageal Manometry in Healthy or Dysphagic Older Persons (>60 years).](https://www.ncbi.nlm.nih.gov/pubmed/31011102)
center of pressure progression patterns during level walking in adolescents with idiopathic scoliosis.,,center of pressure progression patterns during level walking in adolescents with idiopathic scoliosis.,GAIT/LOCOMOTION,"Gao CC, Chern JS, Chang CJ, Lai PL, Lung CW,",*PloS one*,* [Center of pressure progression patterns during level walking in adolescents with idiopathic scoliosis.](https://www.ncbi.nlm.nih.gov/pubmed/31009471)
epigallocatechin gallate (egcg) alters body fat and lean mass through sex-dependent metabolic mechanisms in drosophila melanogaster., egcg epigallocatechin gallate energy homeostasis,epigallocatechin gallate (egcg) alters body fat and lean mass through sex-dependent metabolic mechanisms in drosophila melanogaster.,GAIT/LOCOMOTION,"Chen PB, Kim JH, Young L, Clark JM, Park Y,",*International journal of food sciences and nutrition*,* [Epigallocatechin gallate (EGCG) alters body fat and lean mass through sex-dependent metabolic mechanisms in Drosophila melanogaster.](https://www.ncbi.nlm.nih.gov/pubmed/31010351)
using machine learning to predict lower-extremity injury in us special forces.,,using machine learning to predict lower-extremity injury in us special forces.,GAIT/LOCOMOTION,"Connaboy C, Eagle SR, Johnson CD, Flanagan SD, Mi QI, Nindl BC,",*Medicine and science in sports and exercise*,* [Using Machine Learning to Predict Lower-Extremity Injury in US Special Forces.](https://www.ncbi.nlm.nih.gov/pubmed/30985586)
unique controlling mechanisms underlying walking with two handheld poles in contrast to those of conventional walking as revealed by split-belt locomotor adaptation.,locomotion motor learning pole walking walking adaptation,unique controlling mechanisms underlying walking with two handheld poles in contrast to those of conventional walking as revealed by split-belt locomotor adaptation.,GAIT/LOCOMOTION,"Obata H, Ogawa T, Nakazawa K,",*Experimental brain research*,* [Unique controlling mechanisms underlying walking with two handheld poles in contrast to those of conventional walking as revealed by split-belt locomotor adaptation.](https://www.ncbi.nlm.nih.gov/pubmed/30997538)
iterative spatial updating during forward linear walking revealed using a continuous pointing task.,spatial updating distance estimation locomotion online control pointing,iterative spatial updating during forward linear walking revealed using a continuous pointing task.,GAIT/LOCOMOTION,"Burkitt JJ, Campos JL, Lyons JL,",*Journal of motor behavior*,* [Iterative Spatial Updating During Forward Linear Walking Revealed Using a Continuous Pointing Task.](https://www.ncbi.nlm.nih.gov/pubmed/30982465)
is knee biomechanics different in uphill walking on different slopes for older adults with total knee replacement?,gait inclined surface knee abduction moment knee extension moment total knee arthroplasty,is knee biomechanics different in uphill walking on different slopes for older adults with total knee replacement?,GAIT/LOCOMOTION,"Wen C, Cates HE, Zhang S,",*Journal of biomechanics*,* [Is knee biomechanics different in uphill walking on different slopes for older adults with total knee replacement?](https://www.ncbi.nlm.nih.gov/pubmed/31027836)
changes in posture and interactive behaviors as infants progress from sitting to walking: a longitudinal study.,exploration infancy interactive behaviors locomotion longitudinal study posture,changes in posture and interactive behaviors as infants progress from sitting to walking: a longitudinal study.,GAIT/LOCOMOTION,"Thurman SL, Corbetta D,",*Frontiers in psychology*,* [Changes in Posture and Interactive Behaviors as Infants Progress From Sitting to Walking: A Longitudinal Study.](https://www.ncbi.nlm.nih.gov/pubmed/31031682)
a comparison of control strategies in commercial and research knee prostheses.,,a comparison of control strategies in commercial and research knee prostheses.,GAIT/LOCOMOTION,"Fluit R, Prinsen E, Wang S, Van Der Kooij H,",*IEEE transactions on bio-medical engineering*,* [A comparison of control strategies in commercial and research knee prostheses.](https://www.ncbi.nlm.nih.gov/pubmed/31021749)
the ability of gait kinematic parameters to predict falls in older adults with cognitive impairments living in long term institutions.,aging biomechanics falls prevention physical therapy,the ability of gait kinematic parameters to predict falls in older adults with cognitive impairments living in long term institutions.,GAIT/LOCOMOTION,"Marques NR, Camilo GF, de Martini Lopes Dos Santos AP, Cardoso BC, Navega MT, de Abreu DCC,","*Clinical biomechanics (Bristol, Avon)*",* [The ability of gait kinematic parameters to predict falls in older adults with cognitive impairments living in long term institutions.](https://www.ncbi.nlm.nih.gov/pubmed/31031228)
walking with avatars: gait-related visual information for following a virtual leader.,distance-regulation dynamical systems ecological psychology interpersonal coordination locomotion,walking with avatars: gait-related visual information for following a virtual leader.,GAIT/LOCOMOTION,"Meerhoff LA, De Poel HJ, Jowett TWD, Button C,",*Human movement science*,* [Walking with avatars: Gait-related visual information for following a virtual leader.](https://www.ncbi.nlm.nih.gov/pubmed/31029839)
foot motion character during forward and backward walking with shoes and barefoot.,foot kinematics backward walking barefoot shoes,foot motion character during forward and backward walking with shoes and barefoot.,GAIT/LOCOMOTION,"Sun D, Fekete G, Baker JS, Gu Y,",*Journal of motor behavior*,* [Foot Motion Character During Forward and Backward Walking With Shoes and Barefoot.](https://www.ncbi.nlm.nih.gov/pubmed/31023152)
"the landscape of movement control in locomotion: cost, strategy, and solution.",constraints cost surface energetic cost energy gait,"the landscape of movement control in locomotion: cost, strategy, and solution.",GAIT/LOCOMOTION,"Croft JL, Schroeder RT, Bertram JEA,",*Frontiers in psychology*,"* [The Landscape of Movement Control in Locomotion: Cost, Strategy, and Solution.](https://www.ncbi.nlm.nih.gov/pubmed/31024381)"
reliability of the closed kinetic chain upper extremity stability test in young adults.,physical functional performance reproducibility of results shoulder,reliability of the closed kinetic chain upper extremity stability test in young adults.,GAIT/LOCOMOTION,"Silva YA, Novaes WA, Dos Passos MHP, Nascimento VYS, Cavalcante BR, Pitangui ACR, De Araújo RC,",*Physical therapy in sport : official journal of the Association of Chartered Physiotherapists in Sports Medicine*,* [Reliability of the Closed Kinetic Chain Upper Extremity Stability Test in young adults.](https://www.ncbi.nlm.nih.gov/pubmed/31035171)
from template to anchors: transfer of virtual pendulum posture control balance template to adaptive neuromuscular gait model increases walking stability.,biarticular muscles bipedal locomotion neuromuscular models reflex-based control template and anchor,from template to anchors: transfer of virtual pendulum posture control balance template to adaptive neuromuscular gait model increases walking stability.,GAIT/LOCOMOTION,"Davoodi A, Mohseni O, Seyfarth A, Sharbafi MA,",*Royal Society open science*,* [From template to anchors: transfer of virtual pendulum posture control balance template to adaptive neuromuscular gait model increases walking stability.](https://www.ncbi.nlm.nih.gov/pubmed/31032044)
assessment of predisposing factors in myofascial pain syndrome and the analgesic effect of trigger point injections - a primary therapeutic interventional clinical trial.,factors myofascial pain trigger point,assessment of predisposing factors in myofascial pain syndrome and the analgesic effect of trigger point injections - a primary therapeutic interventional clinical trial.,JOINT/CARTILAGE,"Parthasarathy S, Sundar S, Mishra G,",*Indian journal of anaesthesia*,* [Assessment of predisposing factors in myofascial pain syndrome and the analgesic effect of trigger point injections - A primary therapeutic interventional clinical trial.](https://www.ncbi.nlm.nih.gov/pubmed/31000895)
acromioclavicular joint stabilization: a biomechanical study of bidirectional stability and strength.,acromioclavicular joint cortical button horizontal stabilization vertical,acromioclavicular joint stabilization: a biomechanical study of bidirectional stability and strength.,JOINT/CARTILAGE,"Hislop P, Sakata K, Ackland DC, Gotmaker R, Evans MC,",*Orthopaedic journal of sports medicine*,* [Acromioclavicular Joint Stabilization: A Biomechanical Study of Bidirectional Stability and Strength.](https://www.ncbi.nlm.nih.gov/pubmed/31024965)
"meniscus subluxation retensioning: ""autotransplant"".",,"meniscus subluxation retensioning: ""autotransplant"".",JOINT/CARTILAGE,"Espregueira-Mendes J, Andrade R, Silva L, Pereira B, Sevivas N, Bastos R,",*Arthroscopy techniques*,"* [Meniscus Subluxation Retensioning: ""Autotransplant"".](https://www.ncbi.nlm.nih.gov/pubmed/31016130)"
splinting for the carpometacarpal joint relieves experimental basal thumb pain and loss of pinch strength.,,splinting for the carpometacarpal joint relieves experimental basal thumb pain and loss of pinch strength.,JOINT/CARTILAGE,"Ooishi D, Izumi M, Ueba H, Ikeuchi M,","*European journal of pain (London, England)*",* [Splinting for the carpometacarpal joint relieves experimental basal thumb pain and loss of pinch strength.](https://www.ncbi.nlm.nih.gov/pubmed/31004460)
biomechanical comparison of meniscus-suture constructs for pullout repair of medial meniscus posterior root tears.,,biomechanical comparison of meniscus-suture constructs for pullout repair of medial meniscus posterior root tears.,JOINT/CARTILAGE,"Okimura S, Mae T, Tachibana Y, Iuchi R, Nakata K, Yamashita T, Shino K,",*Journal of experimental orthopaedics*,* [Biomechanical comparison of meniscus-suture constructs for pullout repair of medial meniscus posterior root tears.](https://www.ncbi.nlm.nih.gov/pubmed/30989353)
bruxism: an umbrella review of systematic reviews.,evidence-based dentistry awake bruxism bruxism sleep bruxism systematic review umbrella review,bruxism: an umbrella review of systematic reviews.,JOINT/CARTILAGE,"Melo G, Duarte J, Pauletto P, Porporatti AL, Stuginski-Barbosa J, Winocur E, Flores-Mir C, Canto GL,",*Journal of oral rehabilitation*,* [Bruxism: an umbrella review of systematic reviews.](https://www.ncbi.nlm.nih.gov/pubmed/30993738)
esb clinical biomechanics award 2018: muscle atrophy-related increased joint loading after total hip arthroplasty and their postoperative change from 3 to 50 months.,,esb clinical biomechanics award 2018: muscle atrophy-related increased joint loading after total hip arthroplasty and their postoperative change from 3 to 50 months.,JOINT/CARTILAGE,"Damm P, Brackertz S, Streitparth F, Perka C, Bergmann G, Duda GN, Winkler T,","*Clinical biomechanics (Bristol, Avon)*",* [ESB Clinical Biomechanics Award 2018: Muscle atrophy-related increased joint loading after total hip arthroplasty and their postoperative change from 3 to 50 months.](https://www.ncbi.nlm.nih.gov/pubmed/31026763)
the effect of cryotherapy application to the knee joint on dynamic postural stability.,kinetics knee lower limb postural balance,the effect of cryotherapy application to the knee joint on dynamic postural stability.,JOINT/CARTILAGE,"Fullam K, Delahunt E, Caulfield B, Coughlan GF, McNulty W, Campbell D,",*Journal of sport rehabilitation*,* [The Effect of Cryotherapy Application to the Knee Joint on Dynamic Postural Stability.](https://www.ncbi.nlm.nih.gov/pubmed/31034322)
acromioclavicular joint injuries: evidence-based treatment.,,acromioclavicular joint injuries: evidence-based treatment.,JOINT/CARTILAGE,"Frank RM, Cotter EJ, Leroux TS, Romeo AA,",*The Journal of the American Academy of Orthopaedic Surgeons*,* [Acromioclavicular Joint Injuries: Evidence-based Treatment.](https://www.ncbi.nlm.nih.gov/pubmed/31008872)
sacroiliac joint hypermobility biomechanics and what it means for healthcare providers and patients.,,sacroiliac joint hypermobility biomechanics and what it means for healthcare providers and patients.,JOINT/CARTILAGE,"Enix DE, Mayer JM,","*PM & R : the journal of injury, function, and rehabilitation*",* [Sacroiliac joint hypermobility biomechanics and what it means for healthcare providers and patients.](https://www.ncbi.nlm.nih.gov/pubmed/31025539)
motion of the distal tibiofibular syndesmosis under different loading patterns: a biomechanical study.,ankle joint biomechanics syndesmosis,motion of the distal tibiofibular syndesmosis under different loading patterns: a biomechanical study.,JOINT/CARTILAGE,"Hu WK, Chen DW, Li B, Yang YF, Yu GR,",*Journal of orthopaedic surgery (Hong Kong)*,* [Motion of the distal tibiofibular syndesmosis under different loading patterns: A biomechanical study.](https://www.ncbi.nlm.nih.gov/pubmed/30987529)
autologous living chondrocytes contained in the meniscal matrix play an important role in in vivo meniscus regeneration induced by in situ meniscus fragment implantation.,chondrocytes implantation meniscal matrix meniscus regeneration,autologous living chondrocytes contained in the meniscal matrix play an important role in in vivo meniscus regeneration induced by in situ meniscus fragment implantation.,JOINT/CARTILAGE,"Kawaguchi Y, Kondo E, Iwasaki N, Tanaka Y, Yagi T, Yasuda K,","*Orthopaedics & traumatology, surgery & research : OTSR*",* [Autologous living chondrocytes contained in the meniscal matrix play an important role in in vivo meniscus regeneration induced by in situ meniscus fragment implantation.](https://www.ncbi.nlm.nih.gov/pubmed/31006645)
comparison of finite helical axes of normal and anatomically designed prosthetic knees.,biomechanics kinematics total knee arthroplasty,comparison of finite helical axes of normal and anatomically designed prosthetic knees.,JOINT/CARTILAGE,"Konda S, Tomita T, Yamazaki T, Oda K, Nakajima M, Nakane K, Kono K, Fujito T, Yoshikawa H, Sugamoto K,","*Clinical biomechanics (Bristol, Avon)*",* [Comparison of finite helical axes of normal and anatomically designed prosthetic knees.](https://www.ncbi.nlm.nih.gov/pubmed/30986763)
skipping has lower knee joint contact forces and higher metabolic cost compared to running.,exercise gait joint power joint torque kinematics kinetics locomotion,skipping has lower knee joint contact forces and higher metabolic cost compared to running.,JOINT/CARTILAGE,"McDonnell J, Zwetsloot KA, Houmard J, DeVita P,",*Gait & posture*,* [Skipping has lower knee joint contact forces and higher metabolic cost compared to running.](https://www.ncbi.nlm.nih.gov/pubmed/30986589)
near infrared spectroscopy enables quantitative evaluation of human cartilage biomechanical properties during arthroscopy.,articular cartilage arthroscopy human knee joint near infrared (nir) spectroscopy principal components statistical decision making,near infrared spectroscopy enables quantitative evaluation of human cartilage biomechanical properties during arthroscopy.,JOINT/CARTILAGE,"Prakash M, Joukainen A, Torniainen J, Honkanen MKM, Rieppo L, Afara IO, Kröger H, Töyräs J, Sarin JK,",*Osteoarthritis and cartilage*,* [Near infrared spectroscopy enables quantitative evaluation of human cartilage biomechanical properties during arthroscopy.](https://www.ncbi.nlm.nih.gov/pubmed/31026649)
a non-invasive biomechanical device to quantify knee rotational laxity: verification of the device in human cadaveric specimens.,knee stability laxity measurement tibial rotation,a non-invasive biomechanical device to quantify knee rotational laxity: verification of the device in human cadaveric specimens.,JOINT/CARTILAGE,"Lee JC, Yung PS, Lam MH, Hung AS, Fong DT, Chan WY, Chan KM,","*Asia-Pacific journal of sports medicine, arthroscopy, rehabilitation and technology*",* [A non-invasive biomechanical device to quantify knee rotational laxity: Verification of the device in human cadaveric specimens.](https://www.ncbi.nlm.nih.gov/pubmed/30984559)
3d static optical coherence elastography based on inverse compositional gauss-newton (ic-gn) digital volume correlation.,3d full-field displacement 3d full-field strain digital volume correlation optical coherence elastography optical coherence tomography,3d static optical coherence elastography based on inverse compositional gauss-newton (ic-gn) digital volume correlation.,METHODS,"Meng F, Chen C, Hui S, Wang J, Feng Y, Sun C,",*Journal of biophotonics*,* [3D static optical coherence elastography based on inverse compositional Gauss-Newton (IC-GN) digital volume correlation.](https://www.ncbi.nlm.nih.gov/pubmed/31008547)
experimental investigations of a manually versus an electrically driven skull drill for bedside usage.,,experimental investigations of a manually versus an electrically driven skull drill for bedside usage.,METHODS,"Carolus A, Richter W, Fritzen CP, Schmieder K, Brenke C,",*PloS one*,* [Experimental investigations of a manually versus an electrically driven skull drill for bedside usage.](https://www.ncbi.nlm.nih.gov/pubmed/30998712)
phase space methods for non-linear analysis of pedalling forces in cycling.,,phase space methods for non-linear analysis of pedalling forces in cycling.,METHODS,"Kunert A, Ott M, Reuter T, Koska D, Maiwald C,",*PloS one*,* [Phase space methods for non-linear analysis of pedalling forces in cycling.](https://www.ncbi.nlm.nih.gov/pubmed/30998746)
a new biomechanical glaucoma factor to discriminate normal eyes from normal pressure glaucoma eyes.,corvis st biomechanical glaucoma factor dynamic corneal response deformation generalized estimating equation normal pressure glaucoma,a new biomechanical glaucoma factor to discriminate normal eyes from normal pressure glaucoma eyes.,METHODS,"Pillunat KR, Herber R, Spoerl E, Erb C, Pillunat LE,",*Acta ophthalmologica*,* [A new biomechanical glaucoma factor to discriminate normal eyes from normal pressure glaucoma eyes.](https://www.ncbi.nlm.nih.gov/pubmed/31016882)
clinicians' ability to detect a palpable difference in spinal stiffness compared with a mechanical device.,"chiropractic manipulation, spinal palpation physical therapy modalities spine",clinicians' ability to detect a palpable difference in spinal stiffness compared with a mechanical device.,METHODS,"Kawchuk GN, Miazga S, Pagé I, Swain M, De Carvalho D, Funabashi M, Breen A, Wong A,",*Journal of manipulative and physiological therapeutics*,* [Clinicians' Ability to Detect a Palpable Difference in Spinal Stiffness Compared With a Mechanical Device.](https://www.ncbi.nlm.nih.gov/pubmed/31000343)
experimental study of a new original mesh developed for pelvic floor reconstructive surgery.,bacterial cellulose biomechanics histologic biocompatibility polypropylene mesh sheep model,experimental study of a new original mesh developed for pelvic floor reconstructive surgery.,METHODS,"Ai FF, Mao M, Zhang Y, Kang J, Zhu L,",*International urogynecology journal*,* [Experimental study of a new original mesh developed for pelvic floor reconstructive surgery.](https://www.ncbi.nlm.nih.gov/pubmed/30997545)
review of studies on the application of biomechanical factors in the evaluation of glaucoma.,glaucoma ocular biomechanics research progression statistics,review of studies on the application of biomechanical factors in the evaluation of glaucoma.,METHODS,"Song H, Li Q, Wang N, Wang W, Long X, Liu Z,",*Sheng wu yi xue gong cheng xue za zhi = Journal of biomedical engineering = Shengwu yixue gongchengxue zazhi*,* [[Review of studies on the application of biomechanical factors in the evaluation of glaucoma].](https://www.ncbi.nlm.nih.gov/pubmed/31016950)
studying alcohol use disorder using drosophila melanogaster in the era of 'big data'.,alcohol behavior animal model drosophila fruit fly next-generation sequencing,studying alcohol use disorder using drosophila melanogaster in the era of 'big data'.,METHODS,"Engel GL, Taber K, Vinton E, Crocker AJ,",*Behavioral and brain functions : BBF*,* [Studying alcohol use disorder using Drosophila melanogaster in the era of 'Big Data'.](https://www.ncbi.nlm.nih.gov/pubmed/30992041)
single and dual tandem gait assessment post concussion: what performance time is clinically relevant across adult ages and what can influence results?,adults concussion dual task healthy individual data mild traumatic brain injury single tandem gait,single and dual tandem gait assessment post concussion: what performance time is clinically relevant across adult ages and what can influence results?,METHODS,"Galea OA, Bristow HD, Chisholm SM, Mersch ME, Nullmeyer J, Reid CR, Treleaven JM,",*Musculoskeletal science & practice*,* [Single and dual tandem gait assessment post concussion: What performance time is clinically relevant across adult ages and what can influence results?](https://www.ncbi.nlm.nih.gov/pubmed/31031162)
reflection phase microscopy using spatio-temporal coherence of light.,,reflection phase microscopy using spatio-temporal coherence of light.,METHODS,"Choi Y, Hosseini P, Kang JW, Kang S, Yang TD, Hyeon MG, Kim BM, So PTC, Yaqoob Z,",*Optica*,* [Reflection phase microscopy using spatio-temporal coherence of light.](https://www.ncbi.nlm.nih.gov/pubmed/31008154)
trends in research related to keratoconus from 2009 to 2018: a bibliometric and knowledge mapping analysis.,,trends in research related to keratoconus from 2009 to 2018: a bibliometric and knowledge mapping analysis.,METHODS,"Zhao F, Du F, Zhang J, Xu J,",*Cornea*,* [Trends in Research Related to Keratoconus From 2009 to 2018: A Bibliometric and Knowledge Mapping Analysis.](https://www.ncbi.nlm.nih.gov/pubmed/31033693)
a vocabulary describing health-terms of movement quality - a phenomenological study of movement communication.,movement vocabulary basic body awareness therapy movement health-terms movement quality professional movement communication,a vocabulary describing health-terms of movement quality - a phenomenological study of movement communication.,METHODS,"Skjaerven LH, Gard G, Gómez-Conesa A, Catalan-Matamoros D,",*Disability and rehabilitation*,* [A vocabulary describing health-terms of movement quality - a phenomenological study of movement communication.](https://www.ncbi.nlm.nih.gov/pubmed/31009266)
characteristics of corneal biomechanics in chinese preschool children with different refractive status.,,characteristics of corneal biomechanics in chinese preschool children with different refractive status.,METHODS,"Long W, Zhao Y, Hu Y, Li Z, Zhang X, Zhao W, Yang X, Cui D, Trier K,",*Cornea*,* [Characteristics of Corneal Biomechanics in Chinese Preschool Children With Different Refractive Status.](https://www.ncbi.nlm.nih.gov/pubmed/31033694)
intracochlear electrocochleography: influence of scalar position of the cochlear implant electrode on postinsertion results.,,intracochlear electrocochleography: influence of scalar position of the cochlear implant electrode on postinsertion results.,METHODS,"Riggs WJ, Dwyer RT, Holder JT, Mattingly JK, Ortmann A, Noble JH, Dawant BM, Valenzuela CV, O'Connell BP, Harris MS, Litvak LM, Koka K, Buchman CA, Labadie RF, Adunka OF,","*Otology & neurotology : official publication of the American Otological Society, American Neurotology Society [and] European Academy of Otology and Neurotology*",* [Intracochlear Electrocochleography: Influence of Scalar Position of the Cochlear Implant Electrode on Postinsertion Results.](https://www.ncbi.nlm.nih.gov/pubmed/31033920)
"functional optical zone and centration following smile and lasik: a prospective, randomized, contralateral eye study.",,"functional optical zone and centration following smile and lasik: a prospective, randomized, contralateral eye study.",METHODS,"Damgaard IB, Ang M, Mahmoud AM, Farook M, Roberts CJ, Mehta JS,","*Journal of refractive surgery (Thorofare, N.J. : 1995)*","* [Functional Optical Zone and Centration Following SMILE and LASIK: A Prospective, Randomized, Contralateral Eye Study.](https://www.ncbi.nlm.nih.gov/pubmed/30984980)"
