,title,topic,pred_val,authors,journal,links,full_title,abstract,new_topic
44,effect hypoxia hydrocarbons anti predator performance european sea bass dicentrarchus labrax,CELLULAR/SUBCELLULAR,66.9% CELLULAR/SUBCELLULAR; 8.5% NEURAL; 7.9% COMPARATIVE,"Milinkovitch T, Antognarelli F, Lacroix C, Marras S, Satta A, Le Floch S, Domenici P,","*Environmental pollution (Barking, Essex : 1987)*",* [The effect of hypoxia and hydrocarbons on the anti-predator performance of European sea bass (Dicentrarchus labrax).](https://www.ncbi.nlm.nih.gov/pubmed/31108291),The effect of hypoxia and hydrocarbons on the anti-predator performance of European sea bass (Dicentrarchus labrax).,"Hydrocarbons contamination and hypoxia are two stressors that can coexist in coastal ecosystems. At present, few studies evaluated the combined impact of these stressors on fish physiology and behavior. Here, we tested the effect of the combination of hypoxia and petrogenic hydrocarbons on the anti-predator locomotor performance of fish. Specifically, two groups of European sea bass (Dicentrarchus labrax) were exposed to clean water (Ctrl) or oil-contaminated water (Oil). Subsequently, fish of both groups were placed in normoxic (norx) or hypoxic (hyp) experimental tanks (i.e. four groups of fish were formed: Ctrl norx, Ctrl hyp, Oil norx, Oil hyp). In these tanks, escape response was elicited by a mechano-acoustic stimulus and recorded with a high speed camera. Several variables were analyzed: escape response duration, responsiveness (percentage of fish responding to the stimulation), latency (time taken by the fish to initiate a response), directionality (defined as away or toward the stimulus), distance-time variables (such as speed and acceleration), maneuverability variables (such as turning rate), escape trajectory (angle of flight) and distancing of the fish from the stimulus. Results revealed (i) effects of stressors (Ctrl hyp, Oil norx and Oil hyp) on the directionality; (ii) effects of Oil norx and Oil hyp on maneuverability and (iii) effects of Oil hyp on distancing. These results suggest that individual stressors could alter the escape response of fish and that their combination could strengthen these effects. Such an impact could decrease the probability of prey escape success. By investigating the effects of hydrocarbons (and the interaction with hypoxia) on the anti-predator behavior of fish, this work increases our understanding of the biological impact of oil spill. Additionally, the results of this study are of interest for oil spill impact evaluation and also for developing new ecotoxicological tools of ecological significance.",
45,deep brain stimulation pedunculopontine nucleus modulates subthalamic pathological oscillations,CELLULAR/SUBCELLULAR,98.3% CELLULAR/SUBCELLULAR; 0.9% TISSUE/BIOMATERIAL; 0.2% CARDIOVASCULAR/CARDIOPULMONARY,"Stefani A, Grandi LC, Galati S,",*Neurobiology of disease*,* [Deep brain stimulation of the pedunculopontine nucleus modulates subthalamic pathological oscillations.](https://www.ncbi.nlm.nih.gov/pubmed/30423476),Deep brain stimulation of the pedunculopontine nucleus modulates subthalamic pathological oscillations.,"Low frequency deep brain stimulation (DBS) of the pedunculopontine nucleus area (PPNa) has been proposed as a novel surgical target for gait dysfunction in the late stage of Parkinson's disease (PD). Since the mid-2000s, we have shown that intrasurgical delivery of stimulation in the pontine tegmentum affects the firing activity in the subthalamic nucleus (STN), but its effect on STN oscillatory rhythms has not been studied. Neuronal oscillations detected by local field potential (LFPs) have great importance, since they express complex movement-related behavior such as locomotion. Therefore, we examined the effect of three PPNa-DBS stimulation protocols (at 10, 25 and 80 Hz) on the STN oscillatory activity of PD patients. We focused on the anti-kinetic beta (β, 15-30 Hz), the pro-kinetic gamma (γ, 60-90 Hz) and ""gait-related"" alpha (α, 7-12 Hz) bands. We hypothesized that modulation of STN oscillations might have clinical relevance in the PPNa-mediated effects. PPNa stimulation at 25 and 80 Hz decreased the power of the STN β band by 33.94 and 40.22%, respectively. PPNa-DBS did not affect the other two bands with a tendency to suppress α power, while γ oscillation increased. Our results suggest that the anti-kinetic β band is the oscillation most sensitive to PPNa-DBS despite the negligible clinical efficacy on bradykinesia. However, how these changes interact reciprocally with the cortex or are counterbalanced by lower brainstem/spinal pathways remain to be elucidated. Our observation might turn out to be helpful in new protocols designed with adaptive DBS supporting the addition of PPN implantation in PD patients experiencing declining efficacy of STN-DBS.",
46,cross national comparison two general population job exposure matrices physical work exposures,CELLULAR/SUBCELLULAR,99.9% CELLULAR/SUBCELLULAR; 0.1% TISSUE/BIOMATERIAL; 0.0% METHODS,"Evanoff B, Yung M, Buckner-Petty S, Baca M, Andersen JH, Roquelaure Y, Descatha A, Dale AM,",*Occupational and environmental medicine*,* [Cross-national comparison of two general population job exposure matrices for physical work exposures.](https://www.ncbi.nlm.nih.gov/pubmed/30894424),Cross-national comparison of two general population job exposure matrices for physical work exposures.,Job exposure matrices (JEMs) are increasingly used to estimate physical workplace exposures. We conducted a cross-national comparison of exposure estimates from two general population JEMs to aid the interpretation of exposure-outcome associations across countries and to explore the feasibility of cross-national application of JEMs to provide workplace physical exposure estimates.,
47,multiple phototransduction inputs integrate mediate uv light evoked avoidance attraction behavior drosophila,CELLULAR/SUBCELLULAR,38.5% CELLULAR/SUBCELLULAR; 13.8% COMPARATIVE; 7.0% BONE,"Baik LS, Recinos Y, Chevez JA, Au DD, Holmes TC,",*Journal of biological rhythms*,* [Multiple Phototransduction Inputs Integrate to Mediate UV Light-evoked Avoidance/Attraction Behavior in <i>Drosophila</i>.](https://www.ncbi.nlm.nih.gov/pubmed/31140349),Multiple Phototransduction Inputs Integrate to Mediate UV Light-evoked Avoidance/Attraction Behavior in <i>Drosophila</i>.,"Short-wavelength light guides many behaviors that are crucial for an insect's survival. In <i>Drosophila melanogaster</i>, short-wavelength light induces both attraction and avoidance behaviors. How light cues evoke two opposite valences of behavioral responses remains unclear. Here, we comprehensively examine the effects of (1) light intensity, (2) timing of light (duration of exposure, circadian time of day), and (3) phototransduction mechanisms processing light information that determine avoidance versus attraction behavior assayed at high spatiotemporal resolution in <i>Drosophila</i>. External opsin-based photoreceptors signal for attraction behavior in response to low-intensity ultraviolet (UV) light. In contrast, the cell-autonomous neuronal photoreceptors, CRYPTOCHROME (CRY) and RHODOPSIN 7 (RH7), signal avoidance responses to high-intensity UV light. In addition to binary attraction versus avoidance behavioral responses to UV light, flies show distinct clock-dependent spatial preference within a light environment coded by different light input channels.",
48,effects medicinal waters uv sensitivity human keratinocytes comparative pilot,CELLULAR/SUBCELLULAR,34.3% CELLULAR/SUBCELLULAR; 13.5% TISSUE/BIOMATERIAL; 10.8% COMPARATIVE,"Gerencsér G, Szabó I, Szendi K, Hanzel A, Raposa B, Gyöngyi Z, Varga C,",*International journal of biometeorology*,* [Effects of medicinal waters on the UV-sensitivity of human keratinocytes - a comparative pilot study.](https://www.ncbi.nlm.nih.gov/pubmed/31372755),Effects of medicinal waters on the UV-sensitivity of human keratinocytes - a comparative pilot study.,"Balneotherapy has been used to treat several diseases including locomotor, neurological and dermatological conditions. The basis of the ""organic hypothesis"" of medical balneology is that medicinal waters, especially thermal spa and hot spring waters, contain a high variability of organic components with possible biological effects, including UV photo-protection. The recent study aims to clarify this effect in a human keratinocyte cell line model. Results confirm that organic-rich extract of selected medicinal waters might protect skin-derived cells from DNA damage. These results give a clinical relevance to medicinal waters or pharmaceutical products prepared from them in preventing the adverse effects of solar or artificial UV radiation on the human skin.",
49,microglial cell hyper ramification neuronal dendritic spine loss hippocampus medial prefrontal cortex mouse model ptsd,CELLULAR/SUBCELLULAR,89.6% CELLULAR/SUBCELLULAR; 6.3% TISSUE/BIOMATERIAL; 2.9% METHODS,"Smith KL, Kassem MS, Clarke DJ, Kuligowski MP, Bedoya-Pérez MA, Todd SM, Lagopoulos J, Bennett MR, Arnold JC,","*Brain, behavior, and immunity*",* [Microglial cell hyper-ramification and neuronal dendritic spine loss in the hippocampus and medial prefrontal cortex in a mouse model of PTSD.](https://www.ncbi.nlm.nih.gov/pubmed/31158497),Microglial cell hyper-ramification and neuronal dendritic spine loss in the hippocampus and medial prefrontal cortex in a mouse model of PTSD.,"Few animal models exist that successfully reproduce several core associative and non-associative behaviours relevant to post-traumatic stress disorder (PTSD), such as long-lasting fear reactions, hyperarousal, and subtle attentional and cognitive dysfunction. As such, these models may lack the face validity required to adequately model pathophysiological features of PTSD such as CNS grey matter loss and neuroinflammation. Here we aimed to investigate in a mouse model of PTSD whether contextual fear conditioning associated with a relatively high intensity footshock exposure induces loss of neuronal dendritic spines in various corticolimbic brain regions, as their regression may help explain grey matter reductions in PTSD patients. Further, we aimed to observe whether these changes were accompanied by alterations in microglial cell number and morphology, and increased expression of complement factors implicated in the mediation of microglial cell-mediated engulfment of dendritic spines. Adult male C57Bl6J mice were exposed to a single electric footshock and subsequently underwent phenotyping of various PTSD-relevant behaviours in the short (day 2-4) and longer-term (day 29-31). 32 days post-exposure the brains of these animals were subjected to Golgi staining of dendritic spines, microglial cell Iba-1 immunohistochemistry and immunofluorescent staining of the complement factors C1q and C4. Shock exposure promoted a lasting contextual fear response, decreased locomotor activity, exaggerated acoustic startle responses indicative of hyperarousal, and a short-term facilitation of sensorimotor gating function. The shock triggered loss of dendritic spines on pyramidal neurons was accompanied by increased microglial cell number and complexity in the medial prefrontal cortex and dorsal hippocampus, but not in the amygdala. Shock also increased expression of C1q in the pyramidal layer of the CA1 region of the hippocampus but not in other brain regions. The present study further elaborates on the face and construct validity of a mouse model of PTSD and provides a good foundation to explore potential molecular interactions between microglia and dendritic spines.",
50,sex differences cocaine self administration behaviour long access versus intermittent access conditions,COMPARATIVE,18.2% COMPARATIVE; 13.3% NEURAL; 8.5% BONE,"Algallal H, Allain F, Ndiaye NA, Samaha AN,",*Addiction biology*,* [Sex differences in cocaine self-administration behaviour under long access versus intermittent access conditions.](https://www.ncbi.nlm.nih.gov/pubmed/31373148),Sex differences in cocaine self-administration behaviour under long access versus intermittent access conditions.,"Studies in humans suggest that women progress more rapidly from initial cocaine use to addiction. Similarly, female rats can show more incentive motivation for cocaine than male rats do. Most preclinical studies on this issue have used self-administration procedures that provide continuous cocaine access during each session (""long-access"" or LgA and ""short-access""). However, intermittent access (IntA) cocaine self-administration better models the intermittency of human cocaine use. Here, we compared cocaine use in female and male rats that received ten, daily 6-hour LgA or IntA sessions. Cocaine intake was greatest under LgA, and female LgA rats escalated their intake. Only IntA rats (both sexes) developed locomotor sensitization to self-administered cocaine, and sensitization was greatest in females. Five and 25 days after the last self-administration session, we quantified responding for cocaine (0.083-0.75 mg/kg/infusion) under a progressive ratio (PR) schedule, a measure of motivation for drug. Across conditions, females earned more cocaine infusions than males under the PR schedule. Across sexes, IntA rats earned more infusions than LgA rats, even though IntA rats had previously taken much less cocaine. Cumulative cocaine intake significantly predicted responding for cocaine under the PR schedule in male LgA rats only. In IntA rats, the extent of locomotor sensitization significantly predicted responding under the PR schedule. Thus, LgA might be appropriate to study sex differences in cocaine intake, whereas IntA might be best suited to study sex differences in sensitization-related neuroadaptations involved in cocaine addiction. This has implications for modelling distinct features of cocaine addiction in preclinical studies.",
51,nociceptor dependent locomotor dysfunction clinically modeled hindlimb muscle stretching adult rats spinal cord injury,COMPARATIVE,78.6% COMPARATIVE; 9.8% EVOLUTION/ANTHROPOLOGY; 3.9% SPORT/EXERCISE,"Keller AV, Hainline C, Rees K, Krupp S, Prince D, Wood BD, Shum-Siu A, Burke DA, Petruska JC, Magnuson DSK,",*Experimental neurology*,* [Nociceptor-dependent locomotor dysfunction after clinically-modeled hindlimb muscle stretching in adult rats with spinal cord injury.](https://www.ncbi.nlm.nih.gov/pubmed/30880143),Nociceptor-dependent locomotor dysfunction after clinically-modeled hindlimb muscle stretching in adult rats with spinal cord injury.,"In the course of investigating how common clinical treatments and adaptive technologies affect recovery after spinal cord injury (SCI), we discovered that a clinically-modeled hindlimb stretching protocol dramatically, but transiently, reduces locomotor function. Nociceptive sensory input is capable of altering motor output at the spinal level, and nociceptive neurons are sensitized after SCI. Here we tested the hypotheses that stretch-induced locomotor deficits are dependent on nociceptive afferents by depleting TRPV1+ sensory afferents using capsaicin injections in neonatal rats. Following maturation, animals received 25g-cm contusive SCI at T10. After plateau of locomotor recovery at 6 weeks, daily stretching was performed for 3 weeks, followed by 2 weeks without stretch, and again for two additional weeks. Animals were sacrificed 2 h after the last stretching session for histological assessments. Consistent with previous findings, stretch-induced drops in locomotor function were observed in nociceptor-intact animals but were nearly absent in nociceptor-depleted animals. These functional changes were accompanied by corresponding increases in the number of c-Fos+ nuclei throughout the lumbar enlargement. As expected, nociceptor-depleted animals had very little CGRP+ axonal innervation of the dorsal horn. Nociceptor-intact stretched animals had significantly higher levels of CGRP+ as compared to non-stretched SCI rats, suggesting that stretching promoted intraspinal CGRP+ sprouting. These results indicate that stretch-induced locomotor dysfunction in animals with incomplete SCI involves C-fibers, adding a negative post-SCI role to their adaptive roles (e.g., bladder control), and suggesting that the clinical use of muscle stretching to combat contractures and spasticity may be unintentionally detrimental to locomotor function.",
52,pseudomonas aeruginosa derived pyocyanin reduces adipocyte differentiation body weight fat mass mechanisms contributing septic cachexia,COMPARATIVE,93.8% COMPARATIVE; 2.1% EVOLUTION/ANTHROPOLOGY; 0.9% SPORT/EXERCISE,"Larian N, Ensor M, Thatcher SE, English V, Morris AJ, Stromberg A, Cassis LA,",*Food and chemical toxicology : an international journal published for the British Industrial Biological Research Association*,"* [Pseudomonas aeruginosa-derived pyocyanin reduces adipocyte differentiation, body weight, and fat mass as mechanisms contributing to septic cachexia.](https://www.ncbi.nlm.nih.gov/pubmed/31078726)","Pseudomonas aeruginosa-derived pyocyanin reduces adipocyte differentiation, body weight, and fat mass as mechanisms contributing to septic cachexia.","Pseudomonas aeruginosa, a leading cause of sepsis, produces pyocyanin, a blue-pigmented virulence factor. Sepsis is associated with cachexia, but mechanisms are unknown and conventional nutrition approaches are not effective treatments. Pyocyanin has affinity for the aryl hydrocarbon receptor (AhR), which is expressed on adipocytes and regulates adipocyte differentiation. The purpose of this study was to define in vitro and in vivo effects of pyocyanin on adipocyte differentiation and body weight regulation as relates to septic cachexia. In 3T3-L1 preadipocytes, pyocyanin activated AhR and its downstream marker CYP1a1, and reduced differentiation. Administration of pyocyanin to male C57BL/6J mice acutely reduced body temperature with altered locomotion, but caused sustained weight loss. Chronic pyocyanin administration to male and female C57BL/6J mice resulted in sustained reductions in body weight and fat mass, with adipose-specific AhR activation. Pyocyanin-treated male mice had decreased energy expenditure and physical activity, and increased adipose explant lipolysis. In females, pyocyanin caused robust reductions in body weight, adipose-specific AhR activation, and increased expression of inflammatory cytokines in differentiated adipocytes. These results demonstrate that pyocyanin reduces adipocyte differentiation and decreases body weight and fat mass in male and female mice, suggesting that pyocyanin may play a role in septic cachexia.",
53,hypothalamic leptin sensitivity health benefits time restricted feeding dependent time day male mice,COMPARATIVE,61.0% COMPARATIVE; 11.9% VETERINARY/AGRICULTURAL; 4.9% NEURAL,"Boucsein A, Rizwan MZ, Tups A,",*FASEB journal : official publication of the Federation of American Societies for Experimental Biology*,* [Hypothalamic leptin sensitivity and health benefits of time-restricted feeding are dependent on the time of day in male mice.](https://www.ncbi.nlm.nih.gov/pubmed/31366239),Hypothalamic leptin sensitivity and health benefits of time-restricted feeding are dependent on the time of day in male mice.,"Synchronization between biologic clocks and metabolism is crucial for most species. Here, we examined the ability of leptin, important in the control of energy metabolism, to induce leptin signaling at the molecular as well as the behavioral level throughout the 24-h day in mice fed either a control or a high-fat diet (HFD). Furthermore, we investigated the effects of time-restricted feeding (TRF; a limitation of HFD access to 6 h each day) on energy metabolism during different periods throughout the 24-h day. In control mice, molecular leptin sensitivity was highest at zeitgeber time (ZT)0 (lights on), declining during the light phase, and increasing during the dark phase. Surprisingly, leptin resistance in HFD-fed mice was only present from the middle of the dark to the middle of the light period. Specifically, when TRF occurred from ZT21 to ZT3 (when leptin resistance in HFD-fed mice was most profound), it resulted in a disruption of the daily rhythms of locomotor activity and energy expenditure and in increased plasma insulin levels compared with other TRF periods. These data provide evidence that leptin sensitivity is controlled by the circadian rhythm and that TRF periods may be most efficient when aligned with the leptin-sensitive period.-Boucsein, A., Rizwan, M. Z., Tups, A. Hypothalamic leptin sensitivity and health benefits of time-restricted feeding are dependent on the time of day in male mice.",
54,experimental data behavioral hepatosomatic gonadosomatic indeces total lipid mud crab scylla olivacea different velocity levels,COMPARATIVE,76.2% COMPARATIVE; 5.5% SPORT/EXERCISE; 4.3% VETERINARY/AGRICULTURAL,"Muhammad T, Ismail S, Ikhwanuddin M, Abol-Munafi AB,",*Data in brief*,"* [Experimental data on behavioral, hepatosomatic, gonadosomatic indeces and total lipid of mud crab, Scylla olivacea at different velocity levels.](https://www.ncbi.nlm.nih.gov/pubmed/31338400)","Experimental data on behavioral, hepatosomatic, gonadosomatic indeces and total lipid of mud crab, Scylla olivacea at different velocity levels.","The data collected in the present work correspond to the behavioral, Hepatosomatic Index (HSI), Gonadosomatic Index (GSI) and total lipid analysis between male and female mud crabs, <i>Scylla olivacea</i> at different water velocities. A total of 56 immature male and female crabs were used in this data article. The important criteria for estimating the selective habitat facing by <i>S. olivacea</i> is a considerate of (1) the behavioral range in response to abiotic factors (and how it adapt ontogenetically) and (2) the movement of the crab under wild velocities situations. This work purposes to recognize the performance, locomotion rate and escaping capability of <i>S. olivacea</i> under stagnant and flowing water situations and to discuss the significance of horizontal walking to habitat choice. The collective outcomes clearly show that the locomotor activities and escaping capabilities of <i>S. olivacea</i> were influenced by water flow in the mangrove habitats. For the HSI data, velocities of 20 cm/s were the highest increased mean HSI percentage and highest mean HSI percentage in males and females was recorded on the end of the experiment. For GSI percentage of male and female crabs, 20 cm/s dominates the highest increases mean GSI, followed by 60, 40 and 0 cm/s. For total lipid percentage, the results showed that, the mean total lipid of hepatopancrease, muscle and gonad were increased at the beginning and decreased at the final in each water velocities except for 20 cm/s over a culture period of 60 days. Velocities of 20 cm/s were the highest increased mean total lipid percentage followed by 40, 60, and lastly 0 cm/s. The high flow velocities inhibit the production of hepatopancrease and gonad, in terms of nutrients from food used to endeavor the stress condition faced.",
55,starvation tolerance associated prolonged sleep bouts upon starvation single natural population drosophila melanogaster,COMPARATIVE,76.9% COMPARATIVE; 11.3% EVOLUTION/ANTHROPOLOGY; 4.2% NEURAL,"Miura M, Takahashi A,",*Journal of evolutionary biology*,* [Starvation tolerance associated with prolonged sleep bouts upon starvation in a single natural population of Drosophila melanogaster.](https://www.ncbi.nlm.nih.gov/pubmed/31381200),Starvation tolerance associated with prolonged sleep bouts upon starvation in a single natural population of Drosophila melanogaster.,"Large genetic variations in starvation tolerance in animals indicate that there are multiple strategies to cope with low-nutrient conditions. Fruit flies (Drosophila melanogaster) typically respond to starvation by suppressing sleep and enhancing locomotor activity presumably to search for food. However, we hypothesized that in a natural population, there are costs and benefits to sleep suppression under low-nutrient conditions and that conserving energy through sleep could be a better strategy depending on food availability. In this study, we quantified the variation in sleep-related traits in 21 wild-derived inbred lines from Katsunuma, Japan, under fed and starved conditions, and analyzed the relationship between those traits and starvation tolerance. While most of the lines responded to starvation by suppressing the total time in sleep, there were indeed two lines that responded by significantly increasing the sleep-bout durations, and thus, not reducing the total time in sleep. These genotypes survived longer in acute starvation conditions compared to genotypes that responded by the immediate suppression of sleep, which could be due to the reduced metabolic rate during the long uninterrupted sleep bouts. The coexistence of the enhanced foraging and resting strategies upon starvation within a single population is consistent with the presence of a behavioral trade-off between food search and energy conservation due to unpredictable food availability in nature. These results provide insights into the evolutionary mechanisms that contribute to the maintenance of genetic variations underlying environmental stress resistance. This article is protected by copyright. All rights reserved.",
56,influence tacrolimus depressive like behavior diabetic rats brain derived neurotrophic factor regulation hippocampus,COMPARATIVE,60.3% COMPARATIVE; 14.1% VETERINARY/AGRICULTURAL; 4.6% CARDIOVASCULAR/CARDIOPULMONARY,"Shin YJ, Chun YT, Lim SW, Luo K, Quan Y, Cui S, Ko EJ, Chung BH, Lee J, Hong S, Lee MY, Kang HG, Yang CW,",*Neurotoxicity research*,* [Influence of Tacrolimus on Depressive-Like Behavior in Diabetic Rats Through Brain-Derived Neurotrophic Factor Regulation in the Hippocampus.](https://www.ncbi.nlm.nih.gov/pubmed/31201731),Influence of Tacrolimus on Depressive-Like Behavior in Diabetic Rats Through Brain-Derived Neurotrophic Factor Regulation in the Hippocampus.,"The neurotoxicity of immunosuppressive agents and diabetes mellitus are known risk factors of neurological complications in kidney transplant recipients. The aim of the present study was to investigate the influence of tacrolimus on brain-derived neurotrophic factor (BDNF), the critical protein for maintenance of neuronal functions, in the hippocampus in a diabetic condition. A diabetic rat model was established by a single streptozotocin injection (60 mg/kg). Control and diabetic rats then received daily tacrolimus (1.5 mg/kg per day) injections for 6 weeks. BDNF expression in the hippocampus was examined in the dentate gyrus (DG) and CA3 region using immunohistochemistry. There was a significant decrease of BDNF expression in the DG and CA3 region in tacrolimus-treated and diabetic rats compared with that of the control group injected with vehicle only. However, there was no difference in BDNF expression between the two experimental groups. Tacrolimus treatment in diabetic rats further decreased the BDNF expression level in the DG and CA3 region. Interestingly, mossy fiber sprouting, demonstrated by prominent punctate immunolabeling of BDNF with synaptoporin, was observed in the diabetic group treated with tacrolimus, which localized at the stratum oriens of the CA3 region. These data suggest that tacrolimus treatment or a diabetic condition decreases BDNF expression in the hippocampus, and that tacrolimus treatment in the diabetic condition further injures the CA3 region of the hippocampus. In addition to BDNF expression, decreased locomotor activity and evident depressive behavior were observed in tacrolimus-treated diabetic rats. Moreover, there were significant decreases of the mRNA levels of γ-aminobutyric acid and serotonin receptors in the diabetic hippocampus with tacrolimus treatment. This finding suggests that tacrolimus treatment may cause further psychiatric and neurological complications for patients with diabetes, and should thus be used with caution.",
57,piperine attenuates cognitive impairment experimental mouse model sporadic alzheimer disease,COMPARATIVE,81.2% COMPARATIVE; 17.3% EVOLUTION/ANTHROPOLOGY; 0.3% GAIT/LOCOMOTION,"Wang C, Cai Z, Wang W, Wei M, Kou D, Li T, Yang Z, Guo H, Le W, Li S,",*The Journal of nutritional biochemistry*,* [Piperine attenuates cognitive impairment in an experimental mouse model of sporadic Alzheimer's disease.](https://www.ncbi.nlm.nih.gov/pubmed/31207354),Piperine attenuates cognitive impairment in an experimental mouse model of sporadic Alzheimer's disease.,"Piperine, the major alkaloid constituent of black pepper, has been reported to possess a wide range of pharmacological effects on the central nervous system, including antidepressant, anticonvulsant and anti-ischemic activities. In the present study, we aimed to investigate the therapeutic potential and neuroprotective mechanisms of piperine in an experimental mouse model of sporadic Alzheimer's disease (sAD) induced by intracerebroventricular (ICV) infusion of streptozotocin (STZ). STZ was infused bilaterally at a dose of 1.5 mg/kg/day on day 1 and day 3. From day 8, piperine (2.5-10 mg/kg body weight) was administered intraperitoneally once daily for 15 consecutive days. The locomotor activity and cognitive performance of mice were evaluated using open field test and Morris water maze test, respectively. On day 23, all animals were sacrificed, and the hippocampus was used for biochemical, neurochemical and neuroinflammatory determinations. Our data revealed that the ICV-STZ-infused sAD mouse showed an increased oxidative-nitrosative stress, an altered neurotransmission and an elevated neuroinflammation in hippocampus, as well as significant cognitive deficits. All these alterations can be ameliorated by piperine in a dose-dependent manner. In summary, our findings predict a therapeutic potential of piperine against cognitive deficits in sAD mouse. This effect might be due to its abilities to ameliorate oxidative-nitrosative stress, restore neurotransmission and reduce neuroinflammation.",
58,biomechanical comparison modified calcanail system plating fixation intra articular calcaneal fracture finite element analysis,COMPARATIVE,31.6% COMPARATIVE; 22.9% CELLULAR/SUBCELLULAR; 22.5% NEURAL,"Ni M, Wong DW, Niu W, Wang Y, Mei J, Zhang M,",*Medical engineering & physics*,* [Biomechanical comparison of modified Calcanail system with plating fixation in intra-articular calcaneal fracture: A finite element analysis.](https://www.ncbi.nlm.nih.gov/pubmed/31229383),Biomechanical comparison of modified Calcanail system with plating fixation in intra-articular calcaneal fracture: A finite element analysis.,"The calcanail system is a novel intramedullary approach for calcaneal fractures but is believed to be insufficient to treat complex fractures. We propose a modified Calcanail technique by adding a transfixation screw to improve stability. The aim of this study was to evaluate the biomechanical stability of the modified Calcanail system and compare it with the traditional Calcanail system and plate fixation. A Sanders type-IIIAB calcaneal fracture model was built and simulated fixation with the three implants. A vertical loading of 700 N was applied to the subtalar joint surfaces, and the posteroinferior calcaneal tuberosity was fixed. Construct stiffness, fracture migration, and von Mises stress were assessed. The results showed the modified Calcanail system demonstrated the highest construct stiffness, smallest migration, and lowest von Mises stress among three fixations. The study suggested that the modified Calcanail system can provide comparatively sufficient stability, that makes it preferable to treat complex calcaneal fractures.",
59,rip3 inhibition protects locomotion function ameliorating mitochondrial antioxidative capacity spinal cord injury,COMPARATIVE,29.5% COMPARATIVE; 22.0% NEURAL; 11.3% METHODS,"Wang Y, Jiao J, Zhang S, Zheng C, Wu M,",*Biomedicine & pharmacotherapy = Biomedecine & pharmacotherapie*,* [RIP3 inhibition protects locomotion function through ameliorating mitochondrial antioxidative capacity after spinal cord injury.](https://www.ncbi.nlm.nih.gov/pubmed/31146112),RIP3 inhibition protects locomotion function through ameliorating mitochondrial antioxidative capacity after spinal cord injury.,"A novel type of programmed necrosis called necroptosis has been identified in the field of cell death, thereby offering an opportunity for re-examining necrosis after spinal cord injury (SCI). Several recent studies have suggested receptor-interacting protein kinase 3 (RIP3) plays an important role in necrosis in many cell types. However, it is still unclear what downstream events that lead to cell death are triggered by RIP3 activation. Hence, link between RIP3 inhibition and induction of neuronal cell death via mitochondrial function and antioxidative capacity after SCI was studied in our work. We examined the protective effects of RIP3 inhibition in SCI-mice. Furthermore, mimicking the pathological conditions of SCI in vitro, spinal cord neurons were subjected to oxygen-glucose deprivation. Notably, we found GSK872 and Nec-1 ameliorated the locomotor function and spinal cord edema, and conferred reverse of SCI-induced loss of mitochondrial integrity, ATP, glutathione and superoxide dismutase and elevation of reactive oxygen species and malonyldialdehyde in SCI-mice. Moreover, GSK872 alleviated OGD-inducted mitochondrial dysfunction, decreased antioxidative capacity and cell death in spinal cord neurons, through inhibiting RIP3 activity. The data suggest improving antioxidative capacity as a potential multifunctional treatment after SCI and the broader possibility of targeting RIP3 activity as a therapeutic window for spinal neuroprotective intervention.",
60,cellular circadian period length inversely correlates hba sub 1c sub levels individuals type 2 diabetes,COMPARATIVE,62.1% COMPARATIVE; 9.4% CELLULAR/SUBCELLULAR; 8.5% NEURAL,"Sinturel F, Makhlouf AM, Meyer P, Tran C, Pataky Z, Golay A, Rey G, Howald C, Dermitzakis ET, Pichard C, Philippe J, Brown SA, Dibner C,",*Diabetologia*,* [Cellular circadian period length inversely correlates with HbA<sub>1c</sub> levels in individuals with type 2 diabetes.](https://www.ncbi.nlm.nih.gov/pubmed/31134308),Cellular circadian period length inversely correlates with HbA<sub>1c</sub> levels in individuals with type 2 diabetes.,"The circadian system plays an essential role in regulating the timing of human metabolism. Indeed, circadian misalignment is strongly associated with high rates of metabolic disorders. The properties of the circadian oscillator can be measured in cells cultured in vitro and these cellular rhythms are highly informative of the physiological circadian rhythm in vivo. We aimed to discover whether molecular properties of the circadian oscillator are altered as a result of type 2 diabetes.",
61,managing endosteal fibula arthroplasty proximal humeral fracture sequelae,COMPARATIVE,75.5% COMPARATIVE; 23.0% EVOLUTION/ANTHROPOLOGY; 0.5% VETERINARY/AGRICULTURAL,"Amini MH,",*Journal of orthopaedic trauma*,* [Managing the Endosteal Fibula During Arthroplasty for Proximal Humeral Fracture Sequelae.](https://www.ncbi.nlm.nih.gov/pubmed/31290815),Managing the Endosteal Fibula During Arthroplasty for Proximal Humeral Fracture Sequelae.,"Augmentation of proximal humeral fracture fixation with an endosteal fibular allograft has increased in popularity because it biomechanically improves construct stability and potentially may lead to a lower rate of humeral head collapse. However, the potential need for arthroplasty after proximal humeral fracture fixation may still arise. Placing a humeral stem in the presence of an existing intramedullary fibular graft is challenging because the fibula is dense cortical bone and is typically well-integrated by the time an arthroplasty would be performed. Some have proposed burring the proximal humerus open to receive a stem, or using cannulated intramedullary reamers until a humeral stem can be placed. These steps are tedious and inefficient. We have found the most efficient technique as treating the fibula as if it were a well-fixed humeral stem: freeing it up from the native bone and removing it in its entirety.",
