title,topic,authors,journal,links
biomechanical loading during running: can a two mass-spring-damper model be used to evaluate ground reaction forces for high-intensity tasks?,MODELING,"Verheul J, Nedergaard NJ, Pogson M, Lisboa P, Gregson W, Vanrenterghem J, Robinson MA,",*Sports biomechanics*,* [Biomechanical loading during running: can a two mass-spring-damper model be used to evaluate ground reaction forces for high-intensity tasks?](https://www.ncbi.nlm.nih.gov/pubmed/31033415)
a ctenophore (comb jelly) employs vortex rebound dynamics and outperforms other gelatinous swimmers.,MODELING,"Gemmell BJ, Colin SP, Costello JH, Sutherland KR,",*Royal Society open science*,* [A ctenophore (comb jelly) employs vortex rebound dynamics and outperforms other gelatinous swimmers.](https://www.ncbi.nlm.nih.gov/pubmed/31032019)
development and validation of a geometrically personalized finite element model of the lower ligamentous cervical spine for clinical applications.,MODELING,"Nikkhoo M, Cheng CH, Wang JL, Khoz Z, El-Rich M, Hebela N, Khalaf K,",*Computers in biology and medicine*,* [Development and validation of a geometrically personalized finite element model of the lower ligamentous cervical spine for clinical applications.](https://www.ncbi.nlm.nih.gov/pubmed/31035068)
prediction of injury risks and features among scooter riders through madymo reconstruction of a scooter-microvan accident: identifying the driver and passengers.,MODELING,"Zou D, Zhang X, Li Z, Sun J, Zhang J, Huang P, Ma K, Chen Y,",*Journal of forensic and legal medicine*,* [Prediction of injury risks and features among scooter riders through MADYMO reconstruction of a scooter-microvan accident: Identifying the driver and passengers.](https://www.ncbi.nlm.nih.gov/pubmed/31029002)
"the art of a hydraulic joint in a spider's leg: modelling, computational fluid dynamics (cfd) simulation, and bio-inspired design.",MODELING,"Liu C, Chen S, Sheng C, Ding P, Qian Z, Ren L,","*Journal of comparative physiology. A, Neuroethology, sensory, neural, and behavioral physiology*","* [The art of a hydraulic joint in a spider's leg: modelling, computational fluid dynamics (CFD) simulation, and bio-inspired design.](https://www.ncbi.nlm.nih.gov/pubmed/31032530)"
corrective muscle activity reveals subject-specific sensorimotor recalibration.,MODELING,"Iturralde PA, Torres-Oviedo G,",*eNeuro*,* [Corrective Muscle Activity Reveals Subject-Specific Sensorimotor Recalibration.](https://www.ncbi.nlm.nih.gov/pubmed/31043463)
microstructure-based numerical simulation of the mechanical behaviour of ocular tissue.,MODELING,"Zhou D, Abass A, Eliasy A, Studer HP, Movchan A, Movchan N, Elsheikh A,","*Journal of the Royal Society, Interface*",* [Microstructure-based numerical simulation of the mechanical behaviour of ocular tissue.](https://www.ncbi.nlm.nih.gov/pubmed/31039694)
cholinergic neurons of the medial septum are crucial for sensorimotor gating.,NEURAL,"Jin J, Cheng J, Lee KW, Amreen B, McCabe K, Pitcher C, Liebmann T, Greengard P, Flajolet M,",*The Journal of neuroscience : the official journal of the Society for Neuroscience*,* [Cholinergic neurons of the medial septum are crucial for sensorimotor gating.](https://www.ncbi.nlm.nih.gov/pubmed/31028115)
primary cell culture of adult zebrafish spinal neurons for electrophysiological studies.,NEURAL,"Meade ME, Roginsky JE, Schulz JR,",*Journal of neuroscience methods*,* [Primary cell culture of adult zebrafish spinal neurons for electrophysiological studies.](https://www.ncbi.nlm.nih.gov/pubmed/31028770)
"the involvement of d1 and d2 dopamine receptors in the restoration effect of left frontal anodal, but not cathodal, tdcs on streptozocin-induced amnesia.",NEURAL,"Roostaei A, Vaezi G, Nasehi M, Haeri-Rohani A, Zarrindast MR,",*Archives of Iranian medicine*,"* [The Involvement of D1 and D2 Dopamine Receptors in the Restoration Effect of Left Frontal Anodal, but not Cathodal, tDCS on Streptozocin-Induced Amnesia.](https://www.ncbi.nlm.nih.gov/pubmed/31029071)"
null mutation in p4h-tm leads to decreased fear and anxiety and increased social behavior in mice.,NEURAL,"Leinonen H, Koivisto H, Lipponen HR, Matilainen A, Salo AM, Dimova EY, Hämäläinen E, Stavén S, Miettinen P, Myllyharju J, Koivunen P, Tanila H,",*Neuropharmacology*,* [Null mutation in P4h-tm leads to decreased fear and anxiety and increased social behavior in mice.](https://www.ncbi.nlm.nih.gov/pubmed/31029587)
effects of exercise on mglur-mediated glutamatergic transmission in the striatum of hemiparkinsonian rats.,NEURAL,"Shi K, Liu X, Hou L, Qiao D, Lin X,",*Neuroscience letters*,* [Effects of exercise on mGluR-mediated glutamatergic transmission in the striatum of hemiparkinsonian rats.](https://www.ncbi.nlm.nih.gov/pubmed/31029678)
both ketamine and nbqx attenuate alcohol-withdrawal induced depression in male rats.,NEURAL,"Getachew B, Tizabi Y,",*Journal of drug and alcohol research*,* [Both Ketamine and NBQX Attenuate Alcohol-Withdrawal Induced Depression in Male Rats.](https://www.ncbi.nlm.nih.gov/pubmed/31032138)
expression patterns of pacap and pac1r genes and anorexigenic action of pacap1 and pacap2 in zebrafish.,NEURAL,"Nakamachi T, Tanigawa A, Konno N, Shioda S, Matsuda K,",*Frontiers in endocrinology*,* [Expression Patterns of PACAP and PAC1R Genes and Anorexigenic Action of PACAP1 and PACAP2 in Zebrafish.](https://www.ncbi.nlm.nih.gov/pubmed/31031705)
"neurotensin enhances locomotor activity and arousal, and inhibits melanin-concentrating hormone signalings.",NEURAL,"Levitas-Djerbi T, Sagi D, Lebenthal-Loinger I, Lerer-Goldshtein T, Appelbaum L,",*Neuroendocrinology*,"* [Neurotensin Enhances Locomotor Activity and Arousal, and Inhibits Melanin-Concentrating Hormone Signalings.](https://www.ncbi.nlm.nih.gov/pubmed/31030196)"
effects of n-ethylpentylone on locomotor activity and anxiety-like behavior in rats.,NEURAL,"Li J, Lin Z, Tao X, Huang Z, Zhang Y, Zheng S, Wang H, Rao Y,",*Behavioural pharmacology*,* [Effects of N-ethylpentylone on locomotor activity and anxiety-like behavior in rats.](https://www.ncbi.nlm.nih.gov/pubmed/31033523)
"plasmacytoid dendritic cell-stimulative lactic acid bacteria,  lactococcus lactis strain plasma, relieves exercise-induced fatigue and aids recovery via immuno-modulatory action.",NEURAL,"Kokubo T, Komano Y, Tsuji R, Fujiwara D, Fujii T, Kanauchi O,",*International journal of sport nutrition and exercise metabolism*,"* [Plasmacytoid Dendritic Cell-Stimulative Lactic Acid Bacteria, <i>Lactococcus Lactis</i> Strain Plasma, Relieves Exercise-Induced Fatigue and Aids Recovery Via Immuno-Modulatory Action.](https://www.ncbi.nlm.nih.gov/pubmed/31034253)"
long-lasting effects of repeated ketamine administration in adult and adolescent rats.,NEURAL,"Shawn Bates ML, Trujillo KA,",*Behavioural brain research*,* [Long-Lasting Effects of Repeated Ketamine Administration in Adult and Adolescent Rats.](https://www.ncbi.nlm.nih.gov/pubmed/31034850)
accumbal adenosine a 2a receptors enhance cognitive flexibility by facilitating strategy shifting.,NEURAL,"Zhou J, Wu B, Lin X, Dai Y, Li T, Zheng W, Guo W, Vakal S, Chen X, Chen JF,",*Frontiers in cellular neuroscience*,* [Accumbal Adenosine A<sub>2A</sub> Receptors Enhance Cognitive Flexibility by Facilitating Strategy Shifting.](https://www.ncbi.nlm.nih.gov/pubmed/31031594)
"adult neural progenitor cells transplanted into spinal cord injury differentiate into oligodendrocytes, enhance myelination, and contribute to recovery.",NEURAL,"Sankavaram SR, Hakim R, Covacu R, Frostell A, Neumann S, Svensson M, Brundin L,",*Stem cell reports*,"* [Adult Neural Progenitor Cells Transplanted into Spinal Cord Injury Differentiate into Oligodendrocytes, Enhance Myelination, and Contribute to Recovery.](https://www.ncbi.nlm.nih.gov/pubmed/31031190)"
electrophysiological properties of adult zebrafish oligodendrocyte progenitor cells.,NEURAL,"Tsata V, Kroehne V, Reinhardt S, El-Armouche A, Brand M, Wagner M, Reimer MM,",*Frontiers in cellular neuroscience*,* [Electrophysiological Properties of Adult Zebrafish Oligodendrocyte Progenitor Cells.](https://www.ncbi.nlm.nih.gov/pubmed/31031593)
self-administration of edible δ<sup>9</sup>-tetrahydrocannabinol and associated behavioral effects in mice.,NEURAL,"Smoker MP, Mackie K, Lapish CC, Boehm SL,",*Drug and alcohol dependence*,* [Self-administration of edible Δ<sup>9</sup>-tetrahydrocannabinol and associated behavioral effects in mice.](https://www.ncbi.nlm.nih.gov/pubmed/31029878)
"acute and post-acute neuromodulation induces stroke recovery by promoting survival signaling, neurogenesis, and pyramidal tract plasticity.",NEURAL,"Caglayan AB, Beker MC, Caglayan B, Yalcin E, Caglayan A, Yulug B, Hanoglu L, Kutlu S, Doeppner TR, Hermann DM, Kilic E,",*Frontiers in cellular neuroscience*,"* [Acute and Post-acute Neuromodulation Induces Stroke Recovery by Promoting Survival Signaling, Neurogenesis, and Pyramidal Tract Plasticity.](https://www.ncbi.nlm.nih.gov/pubmed/31031599)"
hesperidin alleviates methotrexate-induced memory deficits via hippocampal neurogenesis in adult rats.,NEURAL,"Naewla S, Sirichoat A, Pannangrong W, Chaisawang P, Wigmore P, Welbat JU,",*Nutrients*,* [Hesperidin Alleviates Methotrexate-Induced Memory Deficits via Hippocampal Neurogenesis in Adult Rats.](https://www.ncbi.nlm.nih.gov/pubmed/31027240)
deletion of tbk1 disrupts autophagy and reproduces behavioral and locomotor symptoms of ftd-als in mice.,NEURAL,"Duan W, Guo M, Yi L, Zhang J, Bi Y, Liu Y, Li Y, Li Z, Ma Y, Zhang G, Liu Y, Song X, Li C,",*Aging*,* [Deletion of Tbk1 disrupts autophagy and reproduces behavioral and locomotor symptoms of FTD-ALS in mice.](https://www.ncbi.nlm.nih.gov/pubmed/31039129)
"increased seizure sensitivity, emotional defects and cognitive impairment in phd finger protein 24 (phf24)-null rats.",NEURAL,"Serikawa T, Kunisawa N, Shimizu S, Kato M, Alves Iha H, Kinboshi M, Nishikawa H, Shirakawa Y, Voigt B, Nakanishi S, Kuramoto T, Kaneko T, Yamamoto T, Mashimo T, Sasa M, Ohno Y,",*Behavioural brain research*,"* [Increased seizure sensitivity, emotional defects and cognitive impairment in PHD finger protein 24 (Phf24)-null rats.](https://www.ncbi.nlm.nih.gov/pubmed/31039378)"
antidepressant and neuroprotective effects of naringenin via sonic hedgehog-gli1 cell signaling pathway in a rat model of chronic unpredictable mild stress.,NEURAL,"Tayyab M, Farheen S, M MMP, Khanam N, Mobarak Hossain M, Shahi MH,",*Neuromolecular medicine*,* [Antidepressant and Neuroprotective Effects of Naringenin via Sonic Hedgehog-GLI1 Cell Signaling Pathway in a Rat Model of Chronic Unpredictable Mild Stress.](https://www.ncbi.nlm.nih.gov/pubmed/31037465)
mitochondrial transfer from bone marrow mesenchymal stem cells to motor neurons in spinal cord injury rats via gap junction.,NEURAL,"Li H, Wang C, He T, Zhao T, Chen YY, Shen YL, Zhang X, Wang LL,",*Theranostics*,* [Mitochondrial Transfer from Bone Marrow Mesenchymal Stem Cells to Motor Neurons in Spinal Cord Injury Rats via Gap Junction.](https://www.ncbi.nlm.nih.gov/pubmed/31037154)
effect of thai traditional antinausea remedy on hypnotic and sedative activity in animal experimental models: interaction with drugs acting at gaba a receptor.,NEURAL,"Damjuti W, Kwansang J, Boonruab J,",*Journal of advanced pharmaceutical technology & research*,* [Effect of Thai traditional antinausea remedy on hypnotic and sedative activity in animal experimental models: Interaction with drugs acting at GABA<sub>A</sub> receptor.](https://www.ncbi.nlm.nih.gov/pubmed/31041188)
prevention of huntington's disease-like behavioral deficits in r6/1 mouse by tolfenamic acid is associated with decreases in mutant huntingtin and oxidative stress.,NEURAL,"Liu P, Li Y, Yang W, Liu D, Ji X, Chi T, Guo Z, Li L, Zou L,",*Oxidative medicine and cellular longevity*,* [Prevention of Huntington's Disease-Like Behavioral Deficits in R6/1 Mouse by Tolfenamic Acid Is Associated with Decreases in Mutant Huntingtin and Oxidative Stress.](https://www.ncbi.nlm.nih.gov/pubmed/31049134)
resetting the respiratory rhythm with a spinal central pattern generator.,NEURAL,"Meza R, Huidobro N, Moreno-Castillo M, Mendez-Fernandez A, Flores-Hernandez J, Flores A, Manjarrez E,",*eNeuro*,* [Resetting the Respiratory Rhythm with a Spinal Central Pattern Generator.](https://www.ncbi.nlm.nih.gov/pubmed/31043462)
pigment epithelium-derived factor promotes axon regeneration and functional recovery after spinal cord injury.,NEURAL,"Stevens AR, Ahmed U, Vigneswara V, Ahmed Z,",*Molecular neurobiology*,* [Pigment Epithelium-Derived Factor Promotes Axon Regeneration and Functional Recovery After Spinal Cord Injury.](https://www.ncbi.nlm.nih.gov/pubmed/31049830)
individual knock out of glycine receptor alpha subunits identifies a specific requirement of glra1 for motor function in zebrafish.,NEURAL,"Samarut E, Chalopin D, Riché R, Allard M, Liao M, Drapeau P,",*PloS one*,* [Individual knock out of glycine receptor alpha subunits identifies a specific requirement of glra1 for motor function in zebrafish.](https://www.ncbi.nlm.nih.gov/pubmed/31048868)
citalopram attenuates social behavior deficits in the btbr t<sup>+</sup>itpr3<sup>tf</sup>/j mouse model of autism.,NEURAL,"Fan X,",*Brain research bulletin*,* [Citalopram attenuates social behavior deficits in the BTBR T<sup>+</sup>Itpr3<sup>tf</sup>/J mouse model of autism.](https://www.ncbi.nlm.nih.gov/pubmed/31047973)
action-based attention in  drosophila melanogaster.,NEURAL,"Frighetto G, Zordan MA, Castiello U, Megighian A,",*Journal of neurophysiology*,* [Action-based attention in <i>Drosophila melanogaster</i>.](https://www.ncbi.nlm.nih.gov/pubmed/31042449)
amot and yap1 regulate neuronal dendritic tree complexity and locomotor coordination in mice.,NEURAL,"Rojek KO, Krzemień J, Doleżyczek H, Boguszewski PM, Kaczmarek L, Konopka W, Rylski M, Jaworski J, Holmgren L, Prószyński TJ,",*PLoS biology*,* [Amot and Yap1 regulate neuronal dendritic tree complexity and locomotor coordination in mice.](https://www.ncbi.nlm.nih.gov/pubmed/31042703)
(-)-epigallocatechin-3-gallate attenuates the toxicity of methylmercury in caenorhabditis elegans by activating skn-1.,NEURAL,"Chen M, Wang F, Cao JJ, Han X, Lu WW, Ji X, Chen WH, Lu WQ, Liu AL,",*Chemico-biological interactions*,* [(-)-Epigallocatechin-3-gallate attenuates the toxicity of methylmercury in Caenorhabditis elegans by activating SKN-1.](https://www.ncbi.nlm.nih.gov/pubmed/31047916)
associations between intervertebral disc degeneration grading schemes and measures of disc function.,ORTHOPAEDICS/SPINE,"Zehra U, Noel-Barker N, Marshall J, Adams MA, Dolan P,",*Journal of orthopaedic research : official publication of the Orthopaedic Research Society*,* [Associations between intervertebral disc degeneration grading schemes and measures of disc function.](https://www.ncbi.nlm.nih.gov/pubmed/31042314)
analysis of cervical spine immobilization during patient transport in emergency medical services.,ORTHOPAEDICS/SPINE,"Nolte PC, Uzun DD, Häske D, Weerts J, Münzberg M, Rittmann A, Grützner PA, Kreinest M,",*European journal of trauma and emergency surgery : official publication of the European Trauma Society*,* [Analysis of cervical spine immobilization during patient transport in emergency medical services.](https://www.ncbi.nlm.nih.gov/pubmed/31030223)
the biomechanical effect of single-level laminectomy and posterior instrumentation on spinal stability in degenerative lumbar scoliosis: a human cadaveric study.,ORTHOPAEDICS/SPINE,"Rustenburg CME, Faraj SSA, Holewijn RM, Kingma I, van Royen BJ, Stadhouder A, Emanuel KS,",*Neurosurgical focus*,* [The biomechanical effect of single-level laminectomy and posterior instrumentation on spinal stability in degenerative lumbar scoliosis: a human cadaveric study.](https://www.ncbi.nlm.nih.gov/pubmed/31042658)
spinal balance/alignment - clinical relevance and biomechanics.,ORTHOPAEDICS/SPINE,"Shah AA, Lemans JV, Zavatsky J, Agarwal A, Kruyt MC, Matsumoto K, Serhan H, Agarwal AK, Goel V,",*Journal of biomechanical engineering*,* [Spinal Balance/Alignment - Clinical Relevance and Biomechanics.](https://www.ncbi.nlm.nih.gov/pubmed/31049580)
a biomechanical study on proximal junctional kyphosis following long-segment posterior spinal fusion.,ORTHOPAEDICS/SPINE,"Zhu WY, Zang L, Li J, Guan L, Hai Y,",*Brazilian journal of medical and biological research = Revista brasileira de pesquisas medicas e biologicas*,* [A biomechanical study on proximal junctional kyphosis following long-segment posterior spinal fusion.](https://www.ncbi.nlm.nih.gov/pubmed/31038576)
stent-screw assisted internal fixation of severe lytic spinal metastases: a comparative finite element analysis on saif technique.,ORTHOPAEDICS/SPINE,"La Barbera L, Cianfoni A, Ferrari A, Distefano D, Bonaldi G, Villa T,",*World neurosurgery*,* [Stent-screw Assisted Internal Fixation of Severe Lytic Spinal Metastases: a Comparative Finite Element Analysis on SAIF Technique.](https://www.ncbi.nlm.nih.gov/pubmed/31029814)
the influence of bilateral pedicle screw fixation on vibration response of the disc degenerated human lumbar spine: a finite element stress analysis.,ORTHOPAEDICS/SPINE,"Fan W, Guo LX,",*Technology and health care : official journal of the European Society for Engineering and Medicine*,* [The influence of bilateral pedicle screw fixation on vibration response of the disc degenerated human lumbar spine: A finite element stress analysis.](https://www.ncbi.nlm.nih.gov/pubmed/31033465)
biomechanical experimental study on brace with stiletto needle therapy for scoliosis.,ORTHOPAEDICS/SPINE,"Zhu XH, Xu RF, Hu K,",*Zhongguo gu shang = China journal of orthopaedics and traumatology*,* [[Biomechanical experimental study on brace with stiletto needle therapy for scoliosis].](https://www.ncbi.nlm.nih.gov/pubmed/31027409)
application of individualized 3d-printed artificial vertebral body for cervicothoracic reconstruction in a six-level recurrent chordoma.,ORTHOPAEDICS/SPINE,"Yang X, Wan W, Gong H, Xiao J,",*Turkish neurosurgery*,* [Application of Individualized 3D-Printed Artificial Vertebral Body for Cervicothoracic Reconstruction in a Six-Level Recurrent Chordoma.](https://www.ncbi.nlm.nih.gov/pubmed/31049920)
do stabilization exercises increase the effects of lumbar facet radiofrequency denervation?,ORTHOPAEDICS/SPINE,"Cetin H, Kose N, Turkmen C, Dulger E, Bilgin S, Sahin A,",*Turkish neurosurgery*,* [Do Stabilization Exercises Increase the Effects of Lumbar Facet Radiofrequency Denervation?](https://www.ncbi.nlm.nih.gov/pubmed/31049919)
the role of the medial plate for pauwels type iii femoral neck fracture: a comparative mechanical study using two fixations with cannulated screws.,ORTHOPAEDICS/SURGERY,"Giordano V, Alves DD, Paes RP, Amaral AB, Giordano M, Belangero W, Freitas A, Koch HA, do Amaral NP,",*Journal of experimental orthopaedics*,* [The role of the medial plate for Pauwels type III femoral neck fracture: a comparative mechanical study using two fixations with cannulated screws.](https://www.ncbi.nlm.nih.gov/pubmed/31049738)
medial malleolar fractures: current treatment concepts.,ORTHOPAEDICS/SURGERY,"Carter TH, Duckworth AD, White TO,",*The bone & joint journal*,* [Medial malleolar fractures: current treatment concepts.](https://www.ncbi.nlm.nih.gov/pubmed/31038989)
biomechanical comparison between solid and cannulated intramedullary devices for midshaft clavicle fixation.,ORTHOPAEDICS/SURGERY,"Wang SH, Lin HJ, Shen HC, Pan RY, Yang JJ,",*BMC musculoskeletal disorders*,* [Biomechanical comparison between solid and cannulated intramedullary devices for midshaft clavicle fixation.](https://www.ncbi.nlm.nih.gov/pubmed/31027505)
posterolateral plate fixation with pantalarlock<sup>®</sup> is more stable than nail fixation in tibiotalocalcaneal arthrodesis in a biomechanical cadaver study.,ORTHOPAEDICS/SURGERY,"Gutteck N, Schilde S, Reichel M, Holtz A, Sahmel O, Hinz P, Kielstein H, Lange J, Delank KS, Martin H,",*Foot and ankle surgery : official journal of the European Society of Foot and Ankle Surgeons*,* [Posterolateral plate fixation with Pantalarlock<sup>®</sup> is more stable than nail fixation in tibiotalocalcaneal arthrodesis in a biomechanical cadaver study.](https://www.ncbi.nlm.nih.gov/pubmed/31031148)
the use of dorsal distraction plating for severely comminuted distal radius fractures: a review and comparison to volar plate fixation.,ORTHOPAEDICS/SURGERY,"Perlus R, Doyon J, Henry P,",*Injury*,* [The use of dorsal distraction plating for severely comminuted distal radius fractures: A review and comparison to volar plate fixation.](https://www.ncbi.nlm.nih.gov/pubmed/31040029)
locking plates versus retrograde intramedullary nails in the treatment of periprosthetic supracondylar knee fractures. a retrospective multicenter comparative study.,ORTHOPAEDICS/SURGERY,"Kyriakidis T, Kenanidis E, Akula MR, Zorman D, Tsiridis E,",*Injury*,* [Locking plates versus retrograde intramedullary nails in the treatment of periprosthetic supracondylar knee fractures. A retrospective multicenter comparative study.](https://www.ncbi.nlm.nih.gov/pubmed/31036367)
fracture obliquity is a predictor for loss of reduction in supracondylar humeral fractures in older children.,ORTHOPAEDICS/SURGERY,"Segal D, Cobb L, Little KJ,",*Journal of pediatric orthopedics. Part B*,* [Fracture obliquity is a predictor for loss of reduction in supracondylar humeral fractures in older children.](https://www.ncbi.nlm.nih.gov/pubmed/31033871)
sternoclavicular joint reconstruction fracture risk is reduced with straight drill tunnels and optimized with tendon graft suture augmentation.,ORTHOPAEDICS/SURGERY,"Martetschläger F, Reifenschneider F, Fischer N, Wijdicks CA, Millett PJ, Imhoff AB, Braun S,",*Orthopaedic journal of sports medicine*,* [Sternoclavicular Joint Reconstruction Fracture Risk Is Reduced With Straight Drill Tunnels and Optimized With Tendon Graft Suture Augmentation.](https://www.ncbi.nlm.nih.gov/pubmed/31041330)
biomechanical analysis of latissimus dorsi tendon transfer with and without superior capsule reconstruction using dermal allograft.,ORTHOPAEDICS/SURGERY,"Omid R, Stone MA, Lin CC, Patel NA, Itami Y, McGarry MH, Lee TQ,",*Journal of shoulder and elbow surgery*,* [Biomechanical analysis of latissimus dorsi tendon transfer with and without superior capsule reconstruction using dermal allograft.](https://www.ncbi.nlm.nih.gov/pubmed/31029520)
changes in total lower limb support moment in middle-aged patients undergoing arthroscopic partial meniscectomy - a longitudinal observational cohort study.,REHABILITATION,"Holsgaard-Larsen A, Thorlund JB, Blackmore T, Creaby MW,",*The Knee*,* [Changes in total lower limb support moment in middle-aged patients undergoing arthroscopic partial meniscectomy - A longitudinal observational cohort study.](https://www.ncbi.nlm.nih.gov/pubmed/31031126)
shoulder rehabilitation protocol and equipment fit recommendations for the wheelchair sport athlete with shoulder pain.,REHABILITATION,"Riley AH, Callahan C,",*Sports medicine and arthroscopy review*,* [Shoulder Rehabilitation Protocol and Equipment Fit Recommendations for the Wheelchair Sport Athlete With Shoulder Pain.](https://www.ncbi.nlm.nih.gov/pubmed/31046011)
"non-invasive, brain-controlled functional electrical stimulation for locomotion rehabilitation in individuals with paraplegia.",REHABILITATION,"Selfslagh A, Shokur S, Campos DSF, Donati ARC, Almeida S, Yamauti SY, Coelho DB, Bouri M, Nicolelis MAL,",*Scientific reports*,"* [Non-invasive, Brain-controlled Functional Electrical Stimulation for Locomotion Rehabilitation in Individuals with Paraplegia.](https://www.ncbi.nlm.nih.gov/pubmed/31043637)"
single sessions of high-definition transcranial direct current stimulation do not alter lower extremity biomechanical or corticomotor response variables post-stroke.,REHABILITATION,"Kindred JH, Kautz SA, Wonsetler EC, Bowden MG,",*Frontiers in neuroscience*,* [Single Sessions of High-Definition Transcranial Direct Current Stimulation Do Not Alter Lower Extremity Biomechanical or Corticomotor Response Variables Post-stroke.](https://www.ncbi.nlm.nih.gov/pubmed/31031579)
gait mechanics in women of the acl-sports randomized control trial: interlimb symmetry improves over time regardless of treatment group.,REHABILITATION,"Capin JJ, Zarzycki R, Ito N, Khandha A, Dix C, Manal K, Buchanan TS, Snyder-Mackler L,",*Journal of orthopaedic research : official publication of the Orthopaedic Research Society*,* [Gait Mechanics in Women of the ACL-SPORTS Randomized Control Trial: Interlimb Symmetry Improves Over Time Regardless of Treatment Group.](https://www.ncbi.nlm.nih.gov/pubmed/31042301)
low-volume resistance training improves the functional capacity of older individuals with parkinson's disease.,REHABILITATION,"Leal LC, Abrahin O, Rodrigues RP, da Silva MC, Araújo AP, de Sousa EC, Pimentel CP, Cortinhas-Alves EA,",*Geriatrics & gerontology international*,* [Low-volume resistance training improves the functional capacity of older individuals with Parkinson's disease.](https://www.ncbi.nlm.nih.gov/pubmed/31037806)
hyperbaric oxygen therapy after acute thoracic spinal cord injury: improvement of locomotor recovery in rats: erratum.,REHABILITATION,AUTHOR NAMES ERROR,*Spine*,* [Hyperbaric Oxygen Therapy After Acute Thoracic Spinal Cord Injury: Improvement of Locomotor Recovery in Rats: Erratum.](https://www.ncbi.nlm.nih.gov/pubmed/31046004)
generation of linear traveling waves in piezoelectric plates in air and liquid.,ROBOTICS,"Díaz-Molina A, Ruiz-Díez V, Hernando-García J, Ababneh A, Seidel H, Sánchez-Rojas JL,",*Micromachines*,* [Generation of Linear Traveling Waves in Piezoelectric Plates in Air and Liquid.](https://www.ncbi.nlm.nih.gov/pubmed/31035556)
neuromechanical control of leg length and orientation in children and adults during single-leg hopping.,ROBOTICS,"Beerse M, Wu J,",*Experimental brain research*,* [Neuromechanical control of leg length and orientation in children and adults during single-leg hopping.](https://www.ncbi.nlm.nih.gov/pubmed/31030280)
foot orthoses alter lower limb biomechanics but not jump performance in basketball players with and without flat feet.,SPORT/EXERCISE,"Ho M, Kong PW, Chong LJ, Lam WK,",*Journal of foot and ankle research*,* [Foot orthoses alter lower limb biomechanics but not jump performance in basketball players with and without flat feet.](https://www.ncbi.nlm.nih.gov/pubmed/31044012)
bone health in adaptive sports athletes.,SPORT/EXERCISE,"Blauwet CA, Borgstrom HE, Tenforde AS,",*Sports medicine and arthroscopy review*,* [Bone Health in Adaptive Sports Athletes.](https://www.ncbi.nlm.nih.gov/pubmed/31046010)
landing-takeoff asymmetries applied to running mechanics: a new perspective for performance.,SPORT/EXERCISE,"da Rosa RG, Oliveira HB, Gomeñuka NA, Masiero MPB, da Silva ES, Zanardi APJ, de Carvalho AR, Schons P, Peyré-Tartaruga LA,",*Frontiers in physiology*,* [Landing-Takeoff Asymmetries Applied to Running Mechanics: A New Perspective for Performance.](https://www.ncbi.nlm.nih.gov/pubmed/31040793)
single leg landing movement differences between male and female badminton players after overhead stroke in the backhand-side court.,SPORT/EXERCISE,"Zhao X, Gu Y,",*Human movement science*,* [Single leg landing movement differences between male and female badminton players after overhead stroke in the backhand-side court.](https://www.ncbi.nlm.nih.gov/pubmed/31029835)
functional tests of the competitive exclusion hypothesis for multituberculate extinction.,SPORT/EXERCISE,"Adams NF, Rayfield EJ, Cox PG, Cobb SN, Corfe IJ,",*Royal Society open science*,* [Functional tests of the competitive exclusion hypothesis for multituberculate extinction.](https://www.ncbi.nlm.nih.gov/pubmed/31032010)
effects of motor skill interventions on fundamental movement skills in children and adolescents with intellectual disabilities: a systematic review.,SPORT/EXERCISE,"Maïano C, Hue O, April J,",*Journal of intellectual disability research : JIDR*,* [Effects of motor skill interventions on fundamental movement skills in children and adolescents with intellectual disabilities: a systematic review.](https://www.ncbi.nlm.nih.gov/pubmed/31033077)
biomechanical risk factors associated with running-related injuries: a systematic review.,SPORT/EXERCISE,"Ceyssens L, Vanelderen R, Barton C, Malliaras P, Dingenen B,","*Sports medicine (Auckland, N.Z.)*",* [Biomechanical Risk Factors Associated with Running-Related Injuries: A Systematic Review.](https://www.ncbi.nlm.nih.gov/pubmed/31028658)
acute resistance exercise: physiological and biomechanical alterations during a subsequent swim-training session.,SPORT/EXERCISE,"Arsoniadis GG, Bogdanis GC, Terzis G, Toubekis AG,",*International journal of sports physiology and performance*,* [Acute Resistance Exercise: Physiological and Biomechanical Alterations During a Subsequent Swim-Training Session.](https://www.ncbi.nlm.nih.gov/pubmed/31034259)
ground reaction forces and kinematics of ski jump landing using wearable sensors.,SPORT/EXERCISE,"Bessone V, Petrat J, Schwirtz A,","*Sensors (Basel, Switzerland)*",* [Ground Reaction Forces and Kinematics of Ski Jump Landing Using Wearable Sensors.](https://www.ncbi.nlm.nih.gov/pubmed/31035683)
characteristics of contact force and muscle activation during choreographed falls with two common landing techniques in contemporary dance.,SPORT/EXERCISE,"Van Ramshorst C, Choi WJ,",*Journal of applied biomechanics*,* [Characteristics of Contact Force and Muscle Activation During Choreographed Falls With Two Common Landing Techniques in Contemporary Dance.](https://www.ncbi.nlm.nih.gov/pubmed/31034327)
