title,keywords,everything,topic,authors,journal,links,full_title
ago2 and dicer1 are involved in meth-induced locomotor sensitization in mice via biogenesis of mirna.,ago2 dicer1 methamphetamine microrna nucleus accumbens,ago2 and dicer1 are involved in meth-induced locomotor sensitization in mice via biogenesis of mirna.,NEURAL,"Liu D, Zhu L, Ni T, Guan FL, Chen YJ, Ma DL, Goh ELK, Chen T,",*Addiction biology*,* [Ago2 and Dicer1 are involved in METH-induced locomotor sensitization in mice via biogenesis of miRNA.](https://www.ncbi.nlm.nih.gov/pubmed/29516602),Ago2 and Dicer1 are involved in METH-induced locomotor sensitization in mice via biogenesis of miRNA.
anticonvulsant activity of pterostilbene in zebrafish and mouse acute seizure tests.,depression mice pterostilbene seizures side effects zebrafish,anticonvulsant activity of pterostilbene in zebrafish and mouse acute seizure tests.,NEURAL,"Nieoczym D, Socała K, Gawel K, Esguerra CV, Wyska E, Wlaź P,",*Neurochemical research*,* [Anticonvulsant Activity of Pterostilbene in Zebrafish and Mouse Acute Seizure Tests.](https://www.ncbi.nlm.nih.gov/pubmed/30689162),Anticonvulsant Activity of Pterostilbene in Zebrafish and Mouse Acute Seizure Tests.
identifying the neural correlates of doorway freezing in parkinson's disease.,parkinson's disease freezing of gait functional magnetic resonance imaging hyperdirect pathway presupplementary motor area subthalamic nucleus,identifying the neural correlates of doorway freezing in parkinson's disease.,NEURAL,"Matar E, Shine JM, Gilat M, Ehgoetz Martens KA, Ward PB, Frank MJ, Moustafa AA, Naismith SL, Lewis SJG,",*Human brain mapping*,* [Identifying the neural correlates of doorway freezing in Parkinson's disease.](https://www.ncbi.nlm.nih.gov/pubmed/30637883),Identifying the neural correlates of doorway freezing in Parkinson's disease.
pigment epithelium-derived factor promotes axon regeneration and functional recovery after spinal cord injury.,axon regeneration cns dorsal root ganglia neurons neurite outgrowth pedf serum withdrawal spinal cord injury,pigment epithelium-derived factor promotes axon regeneration and functional recovery after spinal cord injury.,NEURAL,"Stevens AR, Ahmed U, Vigneswara V, Ahmed Z,",*Molecular neurobiology*,* [Pigment Epithelium-Derived Factor Promotes Axon Regeneration and Functional Recovery After Spinal Cord Injury.](https://www.ncbi.nlm.nih.gov/pubmed/31049830),Pigment Epithelium-Derived Factor Promotes Axon Regeneration and Functional Recovery After Spinal Cord Injury.
different visual stimuli affect muscle activation at the knee during sidestepping.,acl emg sidestep biomechanics cutting injury,different visual stimuli affect muscle activation at the knee during sidestepping.,NEURAL,"Lee MJC, Lloyd DG, Lay BS, Bourke PD, Alderson JA,",*Journal of sports sciences*,* [Different visual stimuli affect muscle activation at the knee during sidestepping.](https://www.ncbi.nlm.nih.gov/pubmed/30449252),Different visual stimuli affect muscle activation at the knee during sidestepping.
behavioral effects evoked by the beta globin-derived nonapeptide lvv-h6.,anxiety depression emotional stress hemoglobin hemorphin lvv-h6 opioid oxytocin,behavioral effects evoked by the beta globin-derived nonapeptide lvv-h6.,NEURAL,"da Cruz KR, Ianzer D, Turones LC, Reis LL, Camargo-Silva G, Mendonça MM, da Silva ES, Pedrino GR, de Castro CH, Costa EA, Xavier CH,",*Peptides*,* [Behavioral effects evoked by the beta globin-derived nonapeptide LVV-H6.](https://www.ncbi.nlm.nih.gov/pubmed/30890354),Behavioral effects evoked by the beta globin-derived nonapeptide LVV-H6.
effects of disease-afflicted and aging neurons on the musculoskeletal system.,aging diseases motor neurons neuromuscular junction sensory neurons sympathetic neurons synapse,effects of disease-afflicted and aging neurons on the musculoskeletal system.,NEURAL,"Valdez G,",*Bone*,* [Effects of disease-afflicted and aging neurons on the musculoskeletal system.](https://www.ncbi.nlm.nih.gov/pubmed/30695738),Effects of disease-afflicted and aging neurons on the musculoskeletal system.
enhanced social dominance and altered neuronal excitability in the prefrontal cortex of male kcc2b mutant mice.,gaba autism dominance excitatory inhibitory social,enhanced social dominance and altered neuronal excitability in the prefrontal cortex of male kcc2b mutant mice.,NEURAL,"Anacker AMJ, Moran JT, Santarelli S, Forsberg CG, Rogers TD, Stanwood GD, Hall BJ, Delpire E, Veenstra-VanderWeele J, Saxe MD,",*Autism research : official journal of the International Society for Autism Research*,* [Enhanced Social Dominance and Altered Neuronal Excitability in the Prefrontal Cortex of Male KCC2b Mutant Mice.](https://www.ncbi.nlm.nih.gov/pubmed/30977597),Enhanced Social Dominance and Altered Neuronal Excitability in the Prefrontal Cortex of Male KCC2b Mutant Mice.
individual knock out of glycine receptor alpha subunits identifies a specific requirement of glra1 for motor function in zebrafish.,,individual knock out of glycine receptor alpha subunits identifies a specific requirement of glra1 for motor function in zebrafish.,NEURAL,"Samarut E, Chalopin D, Riché R, Allard M, Liao M, Drapeau P,",*PloS one*,* [Individual knock out of glycine receptor alpha subunits identifies a specific requirement of glra1 for motor function in zebrafish.](https://www.ncbi.nlm.nih.gov/pubmed/31048868),Individual knock out of glycine receptor alpha subunits identifies a specific requirement of glra1 for motor function in zebrafish.
decoupled epineurial and axonal deformation in mouse median and ulnar nerves.,brainbow mouse axon bands of fontana biomechanics peripheral nerve,decoupled epineurial and axonal deformation in mouse median and ulnar nerves.,NEURAL,"Sung J, Sikora-Klak J, Adachi SY, Orozco E, Shah SB,",*Muscle & nerve*,* [Decoupled epineurial and axonal deformation in mouse median and ulnar nerves.](https://www.ncbi.nlm.nih.gov/pubmed/30697763),Decoupled epineurial and axonal deformation in mouse median and ulnar nerves.
time course of diffusion tensor imaging metrics in the chronic spinal cord compression rat model.,diffusion tensor imaging spinal cord compression spinal cord injury,time course of diffusion tensor imaging metrics in the chronic spinal cord compression rat model.,NEURAL,"Zheng W, Xu F, Chen H, Wang N, Xiao W, Liang Y, Wen S,","*Acta radiologica (Stockholm, Sweden : 1987)*",* [Time course of diffusion tensor imaging metrics in the chronic spinal cord compression rat model.](https://www.ncbi.nlm.nih.gov/pubmed/30142996),Time course of diffusion tensor imaging metrics in the chronic spinal cord compression rat model.
a mechanoelectrical coupling model of neurons under stretching.,biomechanics cable theory electrophysiology h-h model neuron diseases,a mechanoelectrical coupling model of neurons under stretching.,NEURAL,"Tian J, Huang G, Lin M, Qiu J, Sha B, Lu TJ, Xu F,",*Journal of the mechanical behavior of biomedical materials*,* [A mechanoelectrical coupling model of neurons under stretching.](https://www.ncbi.nlm.nih.gov/pubmed/30826698),A mechanoelectrical coupling model of neurons under stretching.
loss of inhibitory synapses causes locomotor network dysfunction of the rat spinal cord during prolonged maintenance in vitro.,fictive locomotion locomotor networks loss of inhibitory synapses motoneurons network plasticity spinal cord preparation in vitro,loss of inhibitory synapses causes locomotor network dysfunction of the rat spinal cord during prolonged maintenance in vitro.,NEURAL,"Petrovic A, Veeraraghavan P, Olivieri D, Nistri A, Jurcic N, Mladinic M,",*Brain research*,* [Loss of inhibitory synapses causes locomotor network dysfunction of the rat spinal cord during prolonged maintenance in vitro.](https://www.ncbi.nlm.nih.gov/pubmed/30578767),Loss of inhibitory synapses causes locomotor network dysfunction of the rat spinal cord during prolonged maintenance in vitro.
astaxanthin ameliorates scopolamine-induced spatial memory deficit via reduced cortical-striato-hippocampal oxidative stress.,antioxidant cholinergic neurotransmission hippocampus spatial memory,astaxanthin ameliorates scopolamine-induced spatial memory deficit via reduced cortical-striato-hippocampal oxidative stress.,NEURAL,"Al-Amin MM, Mahmud W, Pervin MS, Ridwanul Islam SM, Ashikur Rahman M, Zinchenko A,",*Brain research*,* [Astaxanthin ameliorates scopolamine-induced spatial memory deficit via reduced cortical-striato-hippocampal oxidative stress.](https://www.ncbi.nlm.nih.gov/pubmed/30552898),Astaxanthin ameliorates scopolamine-induced spatial memory deficit via reduced cortical-striato-hippocampal oxidative stress.
zebrafish exposure to diphenyl diselenide-loaded polymeric nanocapsules caused no behavioral impairments and brain oxidative stress.,nanoparticles nanotoxicology novelty paradigm organoselenium compounds zebrafish,zebrafish exposure to diphenyl diselenide-loaded polymeric nanocapsules caused no behavioral impairments and brain oxidative stress.,NEURAL,"Ferreira LM, da Rosa LVC, Müller TE, de Menezes CC, Marcondes Sari MH, Loro VL, Nogueira CW, Rosemberg DB, Cruz L,",*Journal of trace elements in medicine and biology : organ of the Society for Minerals and Trace Elements (GMS)*,* [Zebrafish exposure to diphenyl diselenide-loaded polymeric nanocapsules caused no behavioral impairments and brain oxidative stress.](https://www.ncbi.nlm.nih.gov/pubmed/30910208),Zebrafish exposure to diphenyl diselenide-loaded polymeric nanocapsules caused no behavioral impairments and brain oxidative stress.
blockade of muscarinic acetylcholine receptors facilitates motivated behaviour and rescues a model of antipsychotic-induced amotivation.,,blockade of muscarinic acetylcholine receptors facilitates motivated behaviour and rescues a model of antipsychotic-induced amotivation.,NEURAL,"Hailwood JM, Heath CJ, Phillips BU, Robbins TW, Saksida LM, Bussey TJ,",*Neuropsychopharmacology : official publication of the American College of Neuropsychopharmacology*,* [Blockade of muscarinic acetylcholine receptors facilitates motivated behaviour and rescues a model of antipsychotic-induced amotivation.](https://www.ncbi.nlm.nih.gov/pubmed/30478410),Blockade of muscarinic acetylcholine receptors facilitates motivated behaviour and rescues a model of antipsychotic-induced amotivation.
optimal satellite rod constructs to mitigate rod failure following pedicle subtraction osteotomy (pso): a finite element study.,biomechanics finite element analysis multirod constructs pedicle subtraction osteotomy rod fracture satellite rods spine,optimal satellite rod constructs to mitigate rod failure following pedicle subtraction osteotomy (pso): a finite element study.,ORTHOPAEDICS/SPINE,"Seyed Vosoughi A, Joukar A, Kiapour A, Parajuli D, Agarwal AK, Goel VK, Zavatsky J,",*The spine journal : official journal of the North American Spine Society*,* [Optimal satellite rod constructs to mitigate rod failure following pedicle subtraction osteotomy (PSO): a finite element study.](https://www.ncbi.nlm.nih.gov/pubmed/30414992),Optimal satellite rod constructs to mitigate rod failure following pedicle subtraction osteotomy (PSO): a finite element study.
factors influencing physiotherapists' attitudes and beliefs toward chronic low back pain: impact of a care network belonging.,physiotherapist beliefs biomechanical biopsychosocial chronic low back pain,factors influencing physiotherapists' attitudes and beliefs toward chronic low back pain: impact of a care network belonging.,ORTHOPAEDICS/SPINE,"Petit A, Begue C, Richard I, Roquelaure Y,",*Physiotherapy theory and practice*,* [Factors influencing physiotherapists' attitudes and beliefs toward chronic low back pain: Impact of a care network belonging.](https://www.ncbi.nlm.nih.gov/pubmed/29521556),Factors influencing physiotherapists' attitudes and beliefs toward chronic low back pain: Impact of a care network belonging.
controlled immobilization-traction based on intervertebral stability is conducive to the regeneration or repair of the degenerative disc: an in vivo study on the rat coccygeal model.,biomechanics immobilization-traction intervertebral disc degeneration rat model regeneration remodeling,controlled immobilization-traction based on intervertebral stability is conducive to the regeneration or repair of the degenerative disc: an in vivo study on the rat coccygeal model.,ORTHOPAEDICS/SPINE,"Che YJ, Guo JB, Liang T, Chen X, Zhang W, Yang HL, Luo ZP,",*The spine journal : official journal of the North American Spine Society*,* [Controlled immobilization-traction based on intervertebral stability is conducive to the regeneration or repair of the degenerative disc: an in vivo study on the rat coccygeal model.](https://www.ncbi.nlm.nih.gov/pubmed/30399448),Controlled immobilization-traction based on intervertebral stability is conducive to the regeneration or repair of the degenerative disc: an in vivo study on the rat coccygeal model.
dual mobility device reduces the risk of prosthetic hip instability for patients with degenerated spine: a case-control study.,dual mobility cup instability pelvic incidence spine degeneration spine-hip relation total hip replacement,dual mobility device reduces the risk of prosthetic hip instability for patients with degenerated spine: a case-control study.,ORTHOPAEDICS/SPINE,"Dagneaux L, Marouby S, Maillot C, Canovas F, Rivière C,","*Orthopaedics & traumatology, surgery & research : OTSR*",* [Dual mobility device reduces the risk of prosthetic hip instability for patients with degenerated spine: A case-control study.](https://www.ncbi.nlm.nih.gov/pubmed/30594599),Dual mobility device reduces the risk of prosthetic hip instability for patients with degenerated spine: A case-control study.
novel compression rat model for developmental spinal stenosis.,circumferential compression developmental spinal stenosis rat model,novel compression rat model for developmental spinal stenosis.,ORTHOPAEDICS/SPINE,"Cheung PWH, Hu Y, Cheung JPY,",*Journal of orthopaedic research : official publication of the Orthopaedic Research Society*,* [Novel compression rat model for developmental spinal stenosis.](https://www.ncbi.nlm.nih.gov/pubmed/30644588),Novel compression rat model for developmental spinal stenosis.
lumbar arthroplasty core herniation presenting with cauda equina syndrome: case report of a rare complication.,cauda equina syndrome herniated artificial disc lumbar arthroplasty lumbar artificial disc total disc replacement,lumbar arthroplasty core herniation presenting with cauda equina syndrome: case report of a rare complication.,ORTHOPAEDICS/SPINE,"Elswick CM, Ahmed HM,","*Operative neurosurgery (Hagerstown, Md.)*",* [Lumbar Arthroplasty Core Herniation Presenting With Cauda Equina Syndrome: Case Report of a Rare Complication.](https://www.ncbi.nlm.nih.gov/pubmed/30099564),Lumbar Arthroplasty Core Herniation Presenting With Cauda Equina Syndrome: Case Report of a Rare Complication.
iliac screws may not be necessary in long-segment constructs with l5-s1 anterior lumbar interbody fusion: cadaveric study of stability and instrumentation strain.,anterior lumbar interbody fusion biomechanics iliac screws long-segment constructs lumbosacral junction pelvic fixation rod strain sacral screw strain spinal deformity transforaminal interbody fusion,iliac screws may not be necessary in long-segment constructs with l5-s1 anterior lumbar interbody fusion: cadaveric study of stability and instrumentation strain.,ORTHOPAEDICS/SPINE,"Hlubek RJ, Godzik J, Newcomb AGUS, Lehrman JN, de Andrada B, Bohl MA, Farber SH, Kelly BP, Turner JD,",*The spine journal : official journal of the North American Spine Society*,* [Iliac screws may not be necessary in long-segment constructs with L5-S1 anterior lumbar interbody fusion: cadaveric study of stability and instrumentation strain.](https://www.ncbi.nlm.nih.gov/pubmed/30419290),Iliac screws may not be necessary in long-segment constructs with L5-S1 anterior lumbar interbody fusion: cadaveric study of stability and instrumentation strain.
lumbar stability in healthy individuals and low back pain patients quantified by wall plank-and-roll test.,,lumbar stability in healthy individuals and low back pain patients quantified by wall plank-and-roll test.,ORTHOPAEDICS/SPINE,"Lee J, Yoon C, Kim K, Cho M, Kim HC, Chung SG,","*PM & R : the journal of injury, function, and rehabilitation*",* [Lumbar Stability in Healthy Individuals and Low Back Pain Patients Quantified by Wall Plank-and-Roll Test.](https://www.ncbi.nlm.nih.gov/pubmed/30031964),Lumbar Stability in Healthy Individuals and Low Back Pain Patients Quantified by Wall Plank-and-Roll Test.
a biomechanical analysis of lateral interbody construct and supplemental fixation in adjacent segment disease of the lumbar spine.,asd adjacent segment disease lateral lumbar interbody fusion lumbar spine,a biomechanical analysis of lateral interbody construct and supplemental fixation in adjacent segment disease of the lumbar spine.,ORTHOPAEDICS/SPINE,"McMains MC, Jain N, Malik AT, Cerier E, Litsky AS, Yu E,",*World neurosurgery*,* [A Biomechanical Analysis of Lateral Interbody Construct and Supplemental Fixation in Adjacent Segment Disease of The Lumbar Spine.](https://www.ncbi.nlm.nih.gov/pubmed/31059851),A Biomechanical Analysis of Lateral Interbody Construct and Supplemental Fixation in Adjacent Segment Disease of The Lumbar Spine.
biomechanical evaluation of traditional posterior versus anterior spondylolisthesis reduction in a cadaveric grade i slip model.,alif = anterior lumbar interbody fusion ap = anterior-posterior bps = bilateral pedicle screw bps+s = bps with an anterior spacer isr = integrated spacer with a built-in reduction mechanism tlif = transforaminal lumbar interbody fusion biomechanical cadaveric degenerative disc disease interbody lumbar fusion spondylolisthesis,biomechanical evaluation of traditional posterior versus anterior spondylolisthesis reduction in a cadaveric grade i slip model.,ORTHOPAEDICS/SPINE,"Hitchon PW, Mahoney JM, Harris JA, Hussain MM, Klocke NF, Hao JC, Drazin D, Bucklen BS,",*Journal of neurosurgery. Spine*,* [Biomechanical evaluation of traditional posterior versus anterior spondylolisthesis reduction in a cadaveric grade I slip model.](https://www.ncbi.nlm.nih.gov/pubmed/31051462),Biomechanical evaluation of traditional posterior versus anterior spondylolisthesis reduction in a cadaveric grade I slip model.
multi-segment spine range of motion in dancers with and without recent low back pain.,biomechanics dance gait injury prevention,multi-segment spine range of motion in dancers with and without recent low back pain.,ORTHOPAEDICS/SPINE,"Swain CTV, Bradshaw EJ, Ekegren CL, Orishimo KF, Kremenic IJ, Liederbach M, Hagins M,",*Gait & posture*,* [Multi-segment spine range of motion in dancers with and without recent low back pain.](https://www.ncbi.nlm.nih.gov/pubmed/30825672),Multi-segment spine range of motion in dancers with and without recent low back pain.
clinical considerations for spinal surgery in the osteoporotic patient: a comprehensive review.,dexa osteopenia osteoporosis spinal instrumentation spine surgery,clinical considerations for spinal surgery in the osteoporotic patient: a comprehensive review.,ORTHOPAEDICS/SPINE,"McCoy S, Tundo F, Chidambaram S, Baaj AA,",*Clinical neurology and neurosurgery*,* [Clinical considerations for spinal surgery in the osteoporotic patient: A comprehensive review.](https://www.ncbi.nlm.nih.gov/pubmed/30921564),Clinical considerations for spinal surgery in the osteoporotic patient: A comprehensive review.
biomechanical analysis of wide posterior releases compared with inferior facetectomy and discectomy in the thoracolumbar and lumbar spine.,anterior discectomy biomechanics facetectomy posterior release thoracolumbar and lumbar spine,biomechanical analysis of wide posterior releases compared with inferior facetectomy and discectomy in the thoracolumbar and lumbar spine.,ORTHOPAEDICS/SPINE,"Rynearson B, Ramanathan R, Allen M, Wang X, Vaudreuil N, Bell KM, Bosch P,",*Spine deformity*,* [Biomechanical Analysis of Wide Posterior Releases Compared With Inferior Facetectomy and Discectomy in the Thoracolumbar and Lumbar Spine.](https://www.ncbi.nlm.nih.gov/pubmed/31053310),Biomechanical Analysis of Wide Posterior Releases Compared With Inferior Facetectomy and Discectomy in the Thoracolumbar and Lumbar Spine.
spinal balance/alignment - clinical relevance and biomechanics.,,spinal balance/alignment - clinical relevance and biomechanics.,ORTHOPAEDICS/SPINE,"Shah AA, Lemans JV, Zavatsky J, Agarwal A, Kruyt MC, Matsumoto K, Serhan H, Agarwal AK, Goel V,",*Journal of biomechanical engineering*,* [Spinal Balance/Alignment - Clinical Relevance and Biomechanics.](https://www.ncbi.nlm.nih.gov/pubmed/31049580),Spinal Balance/Alignment - Clinical Relevance and Biomechanics.
the biomechanical effect of single-level laminectomy and posterior instrumentation on spinal stability in degenerative lumbar scoliosis: a human cadaveric study.,ar = axial rotation dd = disc degeneration fe = flexion/extension lb = lateral bending nz = neutral zone rom = range of motion biomechanics de novo degenerative lumbar scoliosis lumbar spinal stenosis spinal stability,the biomechanical effect of single-level laminectomy and posterior instrumentation on spinal stability in degenerative lumbar scoliosis: a human cadaveric study.,ORTHOPAEDICS/SPINE,"Rustenburg CME, Faraj SSA, Holewijn RM, Kingma I, van Royen BJ, Stadhouder A, Emanuel KS,",*Neurosurgical focus*,* [The biomechanical effect of single-level laminectomy and posterior instrumentation on spinal stability in degenerative lumbar scoliosis: a human cadaveric study.](https://www.ncbi.nlm.nih.gov/pubmed/31042658),The biomechanical effect of single-level laminectomy and posterior instrumentation on spinal stability in degenerative lumbar scoliosis: a human cadaveric study.
finite element method-based study of pedicle screw-bone connection in pullout test and physiological spinal loads.,finite element method lumbar spine pedicle screw screw pullout spine fusion surgery von mises stress,finite element method-based study of pedicle screw-bone connection in pullout test and physiological spinal loads.,ORTHOPAEDICS/SPINE,"Xu M, Yang J, Lieberman IH, Haddas R,",*Medical engineering & physics*,* [Finite element method-based study of pedicle screw-bone connection in pullout test and physiological spinal loads.](https://www.ncbi.nlm.nih.gov/pubmed/30879945),Finite element method-based study of pedicle screw-bone connection in pullout test and physiological spinal loads.
associations between intervertebral disc degeneration grading schemes and measures of disc function.,cadaveric disc biomechanics disc histology. intervertebral disc degeneration intradiscal pressure,associations between intervertebral disc degeneration grading schemes and measures of disc function.,ORTHOPAEDICS/SPINE,"Zehra U, Noel-Barker N, Marshall J, Adams MA, Dolan P,",*Journal of orthopaedic research : official publication of the Orthopaedic Research Society*,* [Associations between intervertebral disc degeneration grading schemes and measures of disc function.](https://www.ncbi.nlm.nih.gov/pubmed/31042314),Associations between intervertebral disc degeneration grading schemes and measures of disc function.
mcgregor's slope and slope of line of sight: two surrogate markers for chin-brow vertical angle in the setting of cervical spine pathology.,cbva mcgregor's slope sls biomechanics cervical deformity,mcgregor's slope and slope of line of sight: two surrogate markers for chin-brow vertical angle in the setting of cervical spine pathology.,ORTHOPAEDICS/SPINE,"Moses MJ, Tishelman JC, Zhou PL, Moon JY, Beaubrun BM, Buckland AJ, Protopsaltis TS,",*The spine journal : official journal of the North American Spine Society*,* [McGregor's Slope and Slope of Line of Sight: Two Surrogate Markers for Chin-Brow Vertical Angle in the Setting of Cervical Spine Pathology.](https://www.ncbi.nlm.nih.gov/pubmed/31059818),McGregor's Slope and Slope of Line of Sight: Two Surrogate Markers for Chin-Brow Vertical Angle in the Setting of Cervical Spine Pathology.
clinical outcomes of dual 3.5-mm locking compression plate fixation for humeral shaft fractures: comparison with single 4.5-mm locking compression plate fixation.,diaphysis dual plate fracture humerus,clinical outcomes of dual 3.5-mm locking compression plate fixation for humeral shaft fractures: comparison with single 4.5-mm locking compression plate fixation.,ORTHOPAEDICS/SURGERY,"Seo JB, Heo K, Yang JH, Yoo JS,",*Journal of orthopaedic surgery (Hong Kong)*,* [Clinical outcomes of dual 3.5-mm locking compression plate fixation for humeral shaft fractures: Comparison with single 4.5-mm locking compression plate fixation.](https://www.ncbi.nlm.nih.gov/pubmed/30955460),Clinical outcomes of dual 3.5-mm locking compression plate fixation for humeral shaft fractures: Comparison with single 4.5-mm locking compression plate fixation.
an experimental evaluation of fracture movement in two alternative tibial fracture fixation models using a vibrating platform.,biomechanics cadaver external fixator fracture fixation fracture movement non-union stiffness tibiae,an experimental evaluation of fracture movement in two alternative tibial fracture fixation models using a vibrating platform.,ORTHOPAEDICS/SURGERY,"Moazen M, Calder P, Koroma P, Wright J, Taylor S, Blunn G,","*Proceedings of the Institution of Mechanical Engineers. Part H, Journal of engineering in medicine*",* [An experimental evaluation of fracture movement in two alternative tibial fracture fixation models using a vibrating platform.](https://www.ncbi.nlm.nih.gov/pubmed/30894097),An experimental evaluation of fracture movement in two alternative tibial fracture fixation models using a vibrating platform.
"a superolaterally placed anchor for subscapularis ""leading-edge"" refixation: a biomechanical study.",,"a superolaterally placed anchor for subscapularis ""leading-edge"" refixation: a biomechanical study.",ORTHOPAEDICS/SURGERY,"Dyrna F, Beitzel K, Pauzenberger L, Dwyer CR, Obopilwe E, Mazzocca AD, Imhoff AB, Braun S,",*Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association*,"* [A Superolaterally Placed Anchor for Subscapularis ""Leading-Edge"" Refixation: A Biomechanical Study.](https://www.ncbi.nlm.nih.gov/pubmed/30902534)","A Superolaterally Placed Anchor for Subscapularis ""Leading-Edge"" Refixation: A Biomechanical Study."
laparoscopic pectopexy: a follow-up cyclic biomechanical analysis determining time to functional stability.,analysis biomechanic biomechanical cyclic testing dynamic in vitro laparoscopic pectopexy,laparoscopic pectopexy: a follow-up cyclic biomechanical analysis determining time to functional stability.,ORTHOPAEDICS/SURGERY,"Sauerwald A, Langer L, Ratiu D, Prescher A, Scaal M, Noé GK, Wegmann K, Bulian DR, Eichler C,",*Archives of gynecology and obstetrics*,* [Laparoscopic pectopexy: a follow-up cyclic biomechanical analysis determining time to functional stability.](https://www.ncbi.nlm.nih.gov/pubmed/30905000),Laparoscopic pectopexy: a follow-up cyclic biomechanical analysis determining time to functional stability.
effect of elbow position on load to failure in olecranon fracture fixation: a biomechanical cadaveric study.,,effect of elbow position on load to failure in olecranon fracture fixation: a biomechanical cadaveric study.,ORTHOPAEDICS/SURGERY,"Lindeman RW, Morris R, Weatherby P, Neustein A, Maassen NH,",*Journal of orthopaedic trauma*,* [Effect of Elbow Position on Load to Failure in Olecranon Fracture Fixation: A Biomechanical Cadaveric Study.](https://www.ncbi.nlm.nih.gov/pubmed/30633081),Effect of Elbow Position on Load to Failure in Olecranon Fracture Fixation: A Biomechanical Cadaveric Study.
a systematic review of proposed rehabilitation guidelines following anatomic and reverse shoulder arthroplasty.,arthroplasty protocol rehabilitation replacement shoulder,a systematic review of proposed rehabilitation guidelines following anatomic and reverse shoulder arthroplasty.,ORTHOPAEDICS/SURGERY,"Bullock GS, Garrigues GE, Ledbetter L, Kennedy J,",*The Journal of orthopaedic and sports physical therapy*,* [A Systematic Review of Proposed Rehabilitation Guidelines Following Anatomic and Reverse Shoulder Arthroplasty.](https://www.ncbi.nlm.nih.gov/pubmed/31021690),A Systematic Review of Proposed Rehabilitation Guidelines Following Anatomic and Reverse Shoulder Arthroplasty.
effect of the humeral neck-shaft angle and glenosphere lateralization on stability of reverse shoulder arthroplasty: a cadaveric study.,reverse shoulder arthroplasty biomechanics lateralization neck-shaft angle shoulder stability,effect of the humeral neck-shaft angle and glenosphere lateralization on stability of reverse shoulder arthroplasty: a cadaveric study.,ORTHOPAEDICS/SURGERY,"Ferle M, Pastor MF, Hagenah J, Hurschler C, Smith T,",*Journal of shoulder and elbow surgery*,* [Effect of the humeral neck-shaft angle and glenosphere lateralization on stability of reverse shoulder arthroplasty: a cadaveric study.](https://www.ncbi.nlm.nih.gov/pubmed/30626537),Effect of the humeral neck-shaft angle and glenosphere lateralization on stability of reverse shoulder arthroplasty: a cadaveric study.
biomechanical analysis of medial-row all-suture suture anchor fixation for rotator cuff repair in a pair-matched cadaveric model.,,biomechanical analysis of medial-row all-suture suture anchor fixation for rotator cuff repair in a pair-matched cadaveric model.,ORTHOPAEDICS/SURGERY,"Bernardoni ED, Frank RM, Veera SS, Waterman BR, Griffin JW, Shewman EF, Cole BJ, Romeo AA, Verma NN,",*Arthroscopy : the journal of arthroscopic & related surgery : official publication of the Arthroscopy Association of North America and the International Arthroscopy Association*,* [Biomechanical Analysis of Medial-Row All-Suture Suture Anchor Fixation for Rotator Cuff Repair in a Pair-Matched Cadaveric Model.](https://www.ncbi.nlm.nih.gov/pubmed/31000387),Biomechanical Analysis of Medial-Row All-Suture Suture Anchor Fixation for Rotator Cuff Repair in a Pair-Matched Cadaveric Model.
cannulated screw prominence in tension band wiring of patella fractures increases fracture gapping: a cadaver study.,,cannulated screw prominence in tension band wiring of patella fractures increases fracture gapping: a cadaver study.,ORTHOPAEDICS/SURGERY,"Avery MC, Jo S, Chang A, Ricci WM, McAndrew C, Miller AN, Tang S,",*Clinical orthopaedics and related research*,* [Cannulated Screw Prominence in Tension Band Wiring of Patella Fractures Increases Fracture Gapping: A Cadaver Study.](https://www.ncbi.nlm.nih.gov/pubmed/30998643),Cannulated Screw Prominence in Tension Band Wiring of Patella Fractures Increases Fracture Gapping: A Cadaver Study.
contralateral eye comparison between 2 cap thicknesses in small incision lenticule extraction: 110 versus 130 μm.,,contralateral eye comparison between 2 cap thicknesses in small incision lenticule extraction: 110 versus 130 μm.,ORTHOPAEDICS/SURGERY,"Wu F, Yin H, Yang Y,",*Cornea*,* [Contralateral Eye Comparison Between 2 Cap Thicknesses in Small Incision Lenticule Extraction: 110 Versus 130 μm.](https://www.ncbi.nlm.nih.gov/pubmed/30601172),Contralateral Eye Comparison Between 2 Cap Thicknesses in Small Incision Lenticule Extraction: 110 Versus 130 μm.
gait characteristics and functional outcomes during early follow-up are comparable in patients with calcaneal fractures treated by either the sinus tarsi or the extended lateral approach.,calcaneal fracture functional outcome gait analysis rehabilitation surgery,gait characteristics and functional outcomes during early follow-up are comparable in patients with calcaneal fractures treated by either the sinus tarsi or the extended lateral approach.,ORTHOPAEDICS/SURGERY,"Brand A, Klöpfer-Krämer I, Böttger M, Kröger I, Gaul L, Wackerle H, Müßig JA, Dietrich A, Gabel J, Augat P,",*Gait & posture*,* [Gait characteristics and functional outcomes during early follow-up are comparable in patients with calcaneal fractures treated by either the sinus tarsi or the extended lateral approach.](https://www.ncbi.nlm.nih.gov/pubmed/30884444),Gait characteristics and functional outcomes during early follow-up are comparable in patients with calcaneal fractures treated by either the sinus tarsi or the extended lateral approach.
