id,topic,authors,title,journal,year,vol_issue,doi
705,CARDIO,"['Zhou, Z', 'Peters, AM', 'Wang, SZ', 'Janda, A', 'Chen, JY', 'Zhou, P', 'Arthur, E', 'Kwartler, CS', 'Milewicz, DM']",Reversal of aortic enlargement induced by increased biomechanical forces requires at1r inhibition in conjunction with at2r activation,Arteriosclerosis Thrombosis And Vascular Biology,2019,39:459-466,http://dx.doi.org/10.1161/ATVBAHA.118.312158
706,CARDIO,"['Roma, PMS', 'Siman, L', 'Hissa, B', 'Agero, U', 'Braga, EM', 'Mesquita, ON']",Profiling of individual human red blood cells under osmotic stress using defocusing microscopy,Journal Of Biomedical Optics,2016,21:00,http://dx.doi.org/10.1117/1.JBO.21.9.090505
707,CARDIO,"['Davies, PF', 'Manduchi, E', 'Jimenez, JM', 'Jiang, YZ']","Biofluids, cell mechanics and epigenetics: flow-induced epigenetic mechanisms of endothelial gene expression",Journal Of Biomechanics,2017,50:3-10,http://dx.doi.org/10.1016/j.jbiomech.2016.11.017
708,CARDIO,"['Lavon, K', 'Halevi, R', 'Marom, G', 'Ben Zekry, S', 'Hamdan, A', 'Schafers, HJ', 'Raanani, E', 'Haj-Ali, R']",Fluid-structure interaction models of bicuspid aortic valves: the effects of nonfused cusp angles,Journal Of Biomechanical Engineering-Transactions Of The Asme,2018,140:00:00,http://dx.doi.org/10.1115/1.4038329
709,CARDIO,"['Sommer, G', 'Benedikt, C', 'Niestrawska, JA', 'Hohenberger, G', 'Viertler, C', 'Regitnig, P', 'Cohnert, TU', 'Holzapfel, GA']","Mechanical response of human subclavian and iliac arteries to extension, inflation and torsion",Acta Biomaterialia,2018,75:235-252,http://dx.doi.org/10.1016/j.actbio.2018.05.043
710,CARDIO,"['Corazza I, Pinardi C, Manco L, Bianchini D, Cercenelli L, Marcelli E, et al']",Biomechanical approach to the clinical treatment of pulmonary arterial hypertension,Journal of Mechanics in Medicine and Biology,2013,13(5),http://dx.doi.org/10.1142/s0219519413400058
711,CARDIO,"['Brass, M', 'Berwick, ZC', 'Zhao, XF', 'Chen, H', 'Krieger, J', 'Chambers, S', 'Kassab, GS']",Growth and remodeling of canine common iliac vein in response to venous reflux and hypertension,Journal Of Vascular Surgery-Venous And Lymphatic Disorders,2015,3:303-43,http://dx.doi.org/10.1016/j.jvsv.2014.09.002
712,CARDIO,"['Morbiducci, U', 'Kok, AM', 'Kwak, BR', 'Stone, PH', 'Steinman, DA', 'Wentzel, JJ']",Atherosclerosis at arterial bifurcations: evidence for the role of haemodynamics and geometry,Thrombosis And Haemostasis,2016,115:484-492,http://dx.doi.org/10.1160/TH15-07-0597
713,CARDIO,"['Elkenani, H', 'Al-Bahkali, E', 'Souli, M']",Numerical investigation of pulse wave propagation in arteries using fluid structure interaction capabilities,Computational And Mathematical Methods In Medicine,2017,NaN,http://dx.doi.org/10.1155/2017/4198095
714,CARDIO,"['Wilczek, P', 'Malota, Z', 'Lesiak, A', 'Niemiec-Cyganek, A', 'Kubin, B', 'Slomski, R', 'Nozynski, J', 'Wilczek, G', 'Mzyk, A', 'Gramatyka, M', 'Opiela, J']",Age-related changes in biomechanical properties of transgenic porcine pulmonary and aortic conduits,Biomedical Materials,2014,9:00,http://dx.doi.org/10.1088/1748-6041/9/5/055006
715,CARDIO,"['Rozman, A', 'Malovrh, MM', 'Adamic, K', 'Subic, T', 'Kovac, V', 'Flezar, M']",Endobronchial ultrasound elastography strain ratio for mediastinal lymph node diagnosis,Radiology And Oncology,2015,49:334-340,http://dx.doi.org/10.1515/raon-2015-0020
716,CARDIO,"['Sabooni, H', 'Hassani, K', 'Bahraseman, HG']",Modeling of iliac artery aneurysm using fluid-structure interaction,Journal Of Mechanics In Medicine And Biology,2015,15:00,http://dx.doi.org/10.1142/S0219519415500414
717,CARDIO,"['Holmes, JW', 'Wagenseil, JE']",Special issue: spotlight on the future of cardiovascular engineering: frontiers and challenges in cardiovascular biomechanics,Journal Of Biomechanical Engineering-Transactions Of The Asme,2016,138:00:00,
718,CARDIO,"['Markel, D', 'Levesque, IR', 'Larkin, J', 'Leger, P', 'El Naqa, I']",Temporally realistic manipulation a 4d biomechanical lung phantom for evaluation of simultaneous registration and segmentation,Medical Physics,2015,42:3549-3549,
719,CARDIO,['Martin C and Sun W'],Biomechanical characterization of aortic valve tissue in humans and common animal models,Journal of Biomedical Materials Research Part A,2012,100A(6):1591-9,http://dx.doi.org/10.1002/jbm.a.34099
720,CARDIO,"['Brune, K', 'Lam, H', 'Wang, M', 'Yong, H', 'An, SS', 'Robinson, DN', 'Sidhaye, VK']",Cigarette smoke alters the biomechanical properties of airway eithelial cells,American Journal Of Respiratory And Critical Care Medicine,2016,193:00:00,
721,CARDIO,"['Derwich, W', 'Wittek, A', 'Pfister, K', 'Nelson, K', 'Bereiter-Hahn, J', 'Fritzen, CP', 'Blase, C', 'Schmitz-Rixen, T']",High resolution strain analysis comparing aorta and abdominal aortic aneurysm with real time three dimensional speckle tracking ultrasound,European Journal Of Vascular And Endovascular Surgery,2016,51:187-193,http://dx.doi.org/10.1016/j.ejvs.2015.07.042
722,CARDIO,"['Gong, LL', 'Hao, YY', 'Yin, XJ', 'Wang, L', 'Ma, XJ', 'Cao, J', 'Liang, RX', 'Liao, FL', 'Zhang, JY']",Joint effect of a combination of components from the fruit of crataegus pinnatifida bge,var. major ne br. and the root of salvia miltiorrhiza bge. with swimming on atherosclerosis in rats. Rsc Advances,2018,8:37229-37242,http://dx.doi.org/10.1039/c8ra05548c
723,CARDIO,"['Gonzalez M, Rivera D, Marcelino A, Agront G, Rodriguez R, Castro M']",The Effect of Silver Nanofibers on the Deformation Properties of Blood Vessels: Towards the Development of New Nanotechnologies to Prevent Rupture of Aneurysms,Journal of Nanomaterials,2014. http://dx.doi.org/10.1155/2014/85312,2014,http://dx.doi.org/10.1155/2014/853120
724,CARDIO,"['Sturla, F', 'Ronzoni, M', 'Vitali, M', 'Dimasi, A', 'Vismara, R', 'Preston-Maher, G', 'Burriesci, G', 'Votta, E', 'Redaelli, A']",Impact of different aortic valve calcification patterns on the outcome of transcatheter aortic valve implantation: a finite element study,Journal Of Biomechanics,2016,49:2520-2530,http://dx.doi.org/10.1016/j.jbiomech.2016.03.036
725,CARDIO,"['Sheu, JR', 'Chen, ZC', 'Jayakumar, T', 'Chou, DS', 'Yen, TL', 'Lee, HN', 'Pan, SH', 'Hsia, CH', 'Yang, CH', 'Hsieh, CY']","A novel indication of platonin, a therapeutic immunomodulating medicine, on neuroprotection against ischemic stroke in mice",Scientific Reports,2017,7:00,http://dx.doi.org/10.1038/srep42277
726,CARDIO,"['Moore M, Moore R and McFetridge PS']",Directed oxygen gradients initiate a robust early remodeling response in engineered vascular grafts,Tissue Engineering Part A,2013,19(17-18):2005-13,http://dx.doi.org/10.1089/ten.tea.2012.0592
727,CARDIO,"['Akai, T', 'Hoshina, K', 'Yamamoto, S', 'Takeuchi, H', 'Nemoto, Y', 'Ohshima, M', 'Shigematsu, K', 'Miyata, T', 'Yamauchi, H', 'Ono, M', 'Watanabe, T']","Biomechanical analysis of an aortic aneurysm model and its clinical application to thoracic aortic aneurysms for defining ""saccular"" aneurysms",Journal Of The American Heart Association,2015,4:00,http://dx.doi.org/10.1161/JAHA.114.001547
728,CARDIO,"['Khanafer K, Duprey A, Zainal M, Schlicht M, Williams D and Berguer R']",Determination of the elastic modulus of ascending thoracic aortic aneurysm at different ranges of pressure using uniaxial tensile testing,Journal of Thoracic and Cardiovascular Surgery,2011,142(3):682-6,http://dx.doi.org/10.1016/j.jtcvs.2010.09.068
729,CARDIO,"['Nauleau, P', 'Apostolakis, I', 'McGarry, M', 'Konofagou, E']",Cross-correlation analysis of pulse wave propagation in arteries: in vitro validation and in vivo feasibility,Physics In Medicine And Biology,2018,63:00:00,http://dx.doi.org/10.1088/1361-6560/aabe57
730,CARDIO,"['Samant, SA', 'Pillai, VB', 'Sundaresan, NR', 'Shroff, SG', 'Gupta, MP']",Histone deacetylase 3 (hdac3)-dependent reversible lysine acetylation of cardiac myosin heavy chain isoforms modulates their enzymatic and motor activity,Journal Of Biological Chemistry,2015,290:15559-15569,http://dx.doi.org/10.1074/jbc.M115.653048
731,CARDIO,"['Teng ZZ, Brown AJ, Calvert PA, Parker RA, et al']",Coronary Plaque Structural Stress Is Associated With Plaque Composition and Subtype and Higher in Acute Coronary Syndrome The BEACON I (Biomechanical Evaluation of Atheromatous Coronary Arteries) Study,Circulation-Cardiovascular Imaging,2014, 7(3): 462-U74,http://dx.doi.org/10.1161/circimaging.113.001526
732,CARDIO,"['Bhatt, SP', 'Bodduluri, S', 'Hoffman, EA', 'Newell, JD', 'Sieren, JC', 'Dransfield, MT', 'Reinhardt, JM']",Computed tomography measure of lung at risk and lung function decline in chronic obstructive pulmonary disease,American Journal Of Respiratory And Critical Care Medicine,2017,196:569-576,http://dx.doi.org/10.1164/rccm.201701-0050OC
733,CARDIO,"['Tasca, G', 'Fiore, GB', 'Redaelli, P', 'Romagnoni, C', 'Redaelli, A', 'Gamba, A', 'Antona, C', 'Vismara, R']",Hydrodynamic and geometric behavior of two pericardial prostheses implanted in small aortic roots,Asaio Journal,2018,64:86-90,http://dx.doi.org/10.1097/MAT.0000000000000587
734,CARDIO,"['Chen H, Liu Y, Slipchenko MN, Zhao XF, Cheng JX and Kassab GS']",The layered structure of coronary adventitia under mechanical load,Biophysical Journal,2011,101(11):2555-62,http://dx.doi.org/10.1016/j.bpj.2011.10.043
735,CARDIO,"['Zhao J, Ozawa K, Kyotani Y, Nagayama K, Ito S, Komatsubara AT, et al']",Azelnidipine inhibits cultured rat aortic smooth muscle cell death induced by cyclic mechanical stretch,Plos One;9(7). http://dx.doi.org/10.1371/journal.pone.01028,,,
736,CARDIO,"['Schmitz-Rixen, T', 'Keese, M', 'Hakimi, M', 'Peters, A', 'Bockler, D', 'Nelson, K', 'Grundmann, RT']","Ruptured abdominal aortic aneurysm-epidemiology, predisposing factors, and biology",Langenbecks Archives Of Surgery,2016,401:275-288,http://dx.doi.org/10.1007/s00423-016-1401-8
737,CARDIO,"['Ohayon J, et al']","Biomechanics of Atherosclerotic Coronary Plaque: Site, Stability and In Vivo Elasticity Modeling",Annals of Biomedical Engineering,2014, 42(2): 269-279,http://dx.doi.org/10.1007/s10439-013-0888-1
738,CARDIO,"['Humphrey, JD', 'Tellides, G']",Central artery stiffness and thoracic aortopathy,American Journal Of Physiology-Heart And Circulatory Physiology,2019,316:72-4954-5772-4956-50,http://dx.doi.org/10.1152/ajpheart.00205.2018
739,CARDIO,"['Timmins LH, Miller MW, Clubb FJ and Moore JE']",Increased artery wall stress post-stenting leads to greater intimal thickening,Laboratory Investigation,2011,91(6):955-67,http://dx.doi.org/10.1038/labinvest.2011.57
740,CARDIO,"['Stefanov, F', 'Sultan, S', 'Morris, L', 'Elhelali, A', 'Kavanagh, EP', 'Lundon, V', 'Sultan, M', 'Hynes, N']",Computational fluid analysis of symptomatic chronic type b aortic dissections managed with the streamliner multilayer flow modulator,Journal Of Vascular Surgery,2017,65:951-963,http://dx.doi.org/10.1016/j.jvs.2016.07.135
741,CARDIO,"['Kontopodis N, Metaxa E, Papaharilaou Y, Georgakarakos E, Tsetis D, Ioannou CV']",Changes in geometric configuration and biomechanical parameters of a rapidly growing abdominal aortic aneurysm may provide insight in aneurysms natural history and rupture risk,Theoretical Biology and Medical Modelling,2013,10,http://dx.doi.org/10.1186/1742-4682-10-67
742,CARDIO,"['Prasad A, To LK, Gorrepati ML, Zarins CK and Figueroa CA']",Computational analysis of stresses acting on intermodular junctions in thoracic aortic endografts,Journal of Endovascular Therapy,2011,18(4):559-68,
743,CARDIO,"['Horny L, Netusil M and Vonavkova T']",Axial prestretch and circumferential distensibility in biomechanics of abdominal aorta,Biomechanics and Modeling in Mechanobiology;13(4):783-99. http://dx.doi.org/10.1007/s10237-013-0534,,,
744,CARDIO,"['Kontopodis, N', 'Metaxa, E', 'Papaharilaou, Y', 'Tavlas, E', 'Tsetis, D', 'Ioannou, C']",Advancements in identifying biomechanical determinants for abdominal aortic aneurysm rupture,Vascular,2015,23:65-77,http://dx.doi.org/10.1177/1708538114532084
745,CARDIO,"['Vogt, W', 'Steigenberger, J', 'Maisser, P']",Quasistatic inflation processes within compliant tubes,Zamm-Zeitschrift Fur Angewandte Mathematik Und Mechanik,2017,97:973-989,http://dx.doi.org/10.1002/zamm.201500276
746,CARDIO,"['Anton H, Harlepp S, Ramspacher C, Wu D, Monduc F, Bhat S, et al']",Pulse propagation by a capacitive mechanism drives embryonic blood flow,Development,2013,140(21):4426-34,http://dx.doi.org/10.1242/dev.096768
747,CARDIO,"['Pfisterer L, Konig G, Hecker M, Korff T']",Pathogenesis of varicose veins - lessons from biomechanics,Vasa-European Journal of Vascular Medicine,2014, 43(2): 88-99,http://dx.doi.org/10.1024/0301-1526/a000335
748,CARDIO,"['Kaye, R', 'Goldstein, T', 'Grande, D', 'Smith, L', 'Zeltsman, D']",Biomechanical properties of the ex vivo porcine trachea: a benchmark for 3-dimensional bioprinted airway replacements,Chest,2016,150:50-5165-5051-65,http://dx.doi.org/10.1016/j.chest.2016.08.029
749,CARDIO,"['Peloquin J, Huynh J, Williams RM and Reinhart-King CA']",Indentation measurements of the subendothelial matrix in bovine carotid arteries,Journal of Biomechanics,2011,44(5):815-21,http://dx.doi.org/10.1016/j.jbiomech.2010.12.018
750,CARDIO,"['Vogiatzis I, Terzis G, Stratakos G, Cherouveim E, Athanasopoulos D, Spetsioti S, et al']",Effect of pulmonary rehabilitation on peripheral muscle fiber remodeling in patients with copd in gold stages ii to iv,Chest,2011,140(3):744-52,http://dx.doi.org/10.1378/chest.10-3058
751,CARDIO,"['Wong KKL, Thavornpattanapong P, Cheung SCP, Sun ZH and Tu JY']",Effect of calcification on the mechanical stability of plaque based on a three-dimensional carotid bifurcation model,Bmc Cardiovascular Disorders,2012,12,http://dx.doi.org/10.1186/1471-2261-12-7
752,CARDIO,"['Conti, M', 'Marconi, M', 'Campanile, G', 'Reali, A', 'Adami, D', 'Berchiolli, R', 'Auricchio, F']",Patient-specific finite element analysis of popliteal stenting,Meccanica,2017,52:633-644,http://dx.doi.org/10.1007/s11012-016-0452-9
753,CARDIO,"['van den Broek CN, van der Horst A, Rutten MCM and van de Vosse FN']",A generic constitutive model for the passive porcine coronary artery,Biomechanics and Modeling in Mechanobiology,2011,10(2):249-58,http://dx.doi.org/10.1007/s10237-010-0231-9
754,CARDIO,"['Li, CY', 'Zhou, Q', 'Yang, LC', 'Chen, YH', 'Hou, JW', 'Guo, K', 'Wang, YP', 'Li, YG']",Dual-specificity phosphatase 14 protects the heart from aortic banding-induced cardiac hypertrophy and dysfunction through inactivation of tak1-p38mapk/-jnk1/2 signaling pathway,Basic Research In Cardiology,2016,111:00:00,http://dx.doi.org/10.1007/s00395-016-0536-7
755,CARDIO,"['Tuna, BG', 'Lachkar, N', 'de Vos, J', 'Bakker, ENTP', 'VanBavel, E']",Cerebral artery remodeling in rodent models of subarachnoid hemorrhage,Journal Of Vascular Research,2015,52:103-115,http://dx.doi.org/10.1159/000431366
756,CARDIO,"['Ebady, R', 'Niddam, AF', 'Boczula, AE', 'Kim, YR', 'Gupta, N', 'Tang, TT', 'Odisho, T', 'Zhi, H', 'Simmons, CA', 'Skare, JT', 'Moriarty, TJ']",Biomechanics of borrelia burgdorferi vascular interactions,Cell Reports,2016,16:2593-2604,http://dx.doi.org/10.1016/j.celrep.2016.08.013
757,CARDIO,"['Tran R, Myers DR, Ciciliano J, Hardy ELT, Sakurai Y, Ahn B, et al']",Biomechanics of haemostasis and thrombosis in health and disease: From the macro- to molecular scale,Journal of Cellular and Molecular Medicine,2013,17(5):579-96,http://dx.doi.org/10.1111/jcmm.12041
758,CARDIO,"['Rai, AT', 'Tarabishy, AR', 'Boo, S', 'Carpenter, JS', 'Bhattia, S']",The 'bendy' basilar: progressive aneurysm tilting and arterial deformation can be a delayed outcome after coiling of large basilar apex aneurysms,Journal Of Neurointerventional Surgery,2019,11:37-43,http://dx.doi.org/10.1136/neurintsurg-2018-013940
759,CARDIO,"['Ivanov, D', 'Dol, A', 'Polienko, A']",Patient-specific hemodynamics and stress-strain state of cerebral aneurysms,Acta Of Bioengineering And Biomechanics,2016,18:9-17,http://dx.doi.org/10.5277/ABB-00373-2015-03
760,CARDIO,"['Xu, CY', 'Liu, XJ', 'Pan, LQ', 'Wu, GH', 'Shu, LX', 'He, YN', 'Ma, LP', 'Lin, CY']",Numerical analysis of balloon expandable stent deployment inside a patient-specific stenotic coronary artery to investigate the instant mechanical behaviors,Journal Of Mechanics In Medicine And Biology,2017,17:00,http://dx.doi.org/10.1142/S0219519417400371
761,CARDIO,"['Gosi, G', 'Monori-Kiss, A', 'Nadasy, G', 'Durko, A', 'Tokes, A', 'Monos, E', 'Acsady, G']",Comparison of passive and active biomechanical properties of human cervical and leg veins,International Angiology,2014,33:348-356,
762,CARDIO,"['Jugdaohsingh, R', 'Kessler, K', 'Messner, B', 'Stoiber, M', 'Pedro, LD', 'Schima, H', 'Laufer, G', 'Powel, JJ', 'Bernhard, D']",Dietary silicon deficiency does not exacerbate diet-induced fatty lesions in female apoe knockout mice,Journal Of Nutrition,2015,145:1498-1506,http://dx.doi.org/10.3945/jn.114.206193
763,CARDIO,"['Ansari F, Pack LK, Brooks SS and Morrison TM']",Design considerations for studies of the biomechanical environment of the femoropopliteal arteries,Journal of Vascular Surgery,2013,58(3):804-13,http://dx.doi.org/10.1016/j.jvs.2013.03.052
764,CARDIO,"['Cheng, YP', 'Gasior, P', 'Xia, JG', 'Ramzipoor, K', 'Lee, C', 'Estrada, EA', 'Dokko, D', 'McGregor, JC', 'Conditt, GB', 'McAndrew, T', 'Kaluza, GL', 'Granada, JF']",Comparative biomechanical behavior and healing profile of a novel thinned wall ultrahigh molecular weight amorphous poly-l-lactic acid sirolimus-eluting bioresorbable coronary scaffold,Circulation-Cardiovascular Interventions,2017,10:00,http://dx.doi.org/10.1161/CIRCINTERVENTIONS.117.005116
765,CARDIO,"['Kim KH, Choi JB, Kim MH, Kim WH, Lee MK and Lee SY']",Aortic valve leaflet replacement with bovine pericardium to preserve native dynamic capabilities of the aortic annulus,Texas Heart Institute Journal,2014,41(1):97-9,
766,CARDIO,"['Moskalenko, R', 'Romaniuk, A', 'Zakorko, IM', 'Levchenko, D', 'Lyndin, M', 'Piddubnyi, A', 'Sikora, V']",Biomechanical properties studying of atherosclerotic aortic wall with micro and macrocalcifications,Virchows Archiv,2017,471:83-4955-5183-4955-51,
767,CARDIO,"['Haskett D, Johnson G, Zhou AF, Utzinger U and Vande Geest J']","Erratum to: Microstructural and biomechanical alterations of the human aorta as a function of age and location (vol 12, pg 413, 2013)",Biomechanics and Modeling in Mechanobiology;12(2):413-4. http://dx.doi.org/10.1007/s10237-012-0415,,,
768,CARDIO,"['Pasta, S', 'Zingales, M']","Special issue on ""frontier biomechanical challenges in cardiovascular physiopathology""",Medical Engineering & Physics,2017,47:1-1,http://dx.doi.org/10.1016/j.medengphy.2017.08.001
769,CARDIO,"['Campo A, Soons J, Heuten H, Ennekens G, et al']",Digital image correlation for full-field time-resolved assessment of arterial stiffness,Journal of Biomedical Optics,2014, 19(1),http://dx.doi.org/10.1117/1.jbo.19.1.016008
770,CARDIO,"['Kolandaivelu K, Leiden BB, Edelman ER']","Predicting response to endovascular therapies: Dissecting the roles of local lesion complexity, systemic comorbidity, and clinical uncertainty",Journal of Biomechanics,2014, 47(4): 908-921,http://dx.doi.org/10.1016/j.jbiomech.2014.01.006
771,CARDIO,"['Pfaller, MR', 'Hormann, JM', 'Weigl, M', 'Nagler, A', 'Chabiniok, R', 'Bertoglio, C', 'Wall, WA']",The importance of the pericardium for cardiac biomechanics: from physiology to computational modeling,Biomechanics And Modeling In Mechanobiology,2019,18:503-529,http://dx.doi.org/10.1007/s10237-018-1098-4
772,CARDIO,"['Cheng, XL', 'Xue, X', 'Ma, Y', 'Han, MD', 'Zhang, W', 'Xu, ZY', 'Zhang, H', 'Zhang, HX']","Implantable and self-powered blood pressure monitoring based on a piezoelectric thinfilm: simulated, in vitro and in vivo studies",Nano Energy,2016,22:453-460,http://dx.doi.org/10.1016/j.nanoen.2016.02.037
773,CARDIO,"['Wang HP, Yu XJ, Xu GH, Xu GT, Gao GS and Xu XH']",Alcoholism and traumatic subarachnoid hemorrhage: An experimental study on vascular morphology and biomechanics,Journal of Trauma-Injury Infection and Critical Care,2011,70(1):E6-E12,http://dx.doi.org/10.1097/TA.0b013e3181cda3b9
774,CARDIO,"['Piechna, A', 'Lombarski, L', 'Ciszek, B', 'Cieslicki, K']",Experimental determination of rupture pressure and stress of adventitia of human middle cerebral arteries,International Journal Of Stroke,2017,12:636-640,http://dx.doi.org/10.1177/1747493016685715
775,CARDIO,"['Amirova, LE', 'Navasiolava, NM', 'Bareille, MP', 'Beck, A', 'Tomilovskaya, ES', 'Kozlovzkaya, IB', 'Gauquelin-Koch, G', 'Gharib, C', 'Custaud, MA']",Effects of plantar stimulation on cardiovascular response to orthostatism,European Journal Of Applied Physiology,2016,116:2257-2266,http://dx.doi.org/10.1007/s00421-016-3479-7
776,CARDIO,"['Huchet, F', 'Guerin, P', 'Letocart, V', 'Manigold, T', 'Jordana, F']",Morphological and biomechanical consequences of post-dilatation following transcatheter aortic valve replacement,Jacc-Cardiovascular Interventions,2018,11:2017-2018,http://dx.doi.org/10.1016/j.jcin.2018.06.039
777,CARDIO,"['Kong, M', 'Lee, J', 'Yazdi, IK', 'Miri, AK', 'Lin, YD', 'Seo, J', 'Zhang, YS', 'Khademhosseini, A', 'Shin, SR']",Cardiac fibrotic remodeling on a chip with dynamic mechanical stimulation,Advanced Healthcare Materials,2019,8:00,http://dx.doi.org/10.1002/adhm.201801146
778,CARDIO,"['Ardakani MT, Oscuii HN, Ghalichi F']",THE INFLUENCE OF USING THE NEEDLE ADAPTER TO REDUCE THE BIOMECHANICAL RISK FACTORS WITHIN HEMODIALYSIS ARTERIOVENOUS GRAFTS,Journal of Mechanics in Medicine and Biology,2014, 14(3),http://dx.doi.org/10.1142/s0219519414500420
779,CARDIO,"['Roy, D', 'Holzapfel, GA', 'Kauffmann, C', 'Soulez, G']",Finite element analysis of abdominal aortic aneurysms: geometrical and structural reconstruction with application of an anisotropic material model,Ima Journal Of Applied Mathematics,2014,79:1011-1026,http://dx.doi.org/10.1093/imamat/hxu037
780,CARDIO,"['Ma D, Dumont TM, Kosukegawa H, Ohta M, Yang XJ, Siddiqui AH, et al']",High fidelity virtual stenting (hifivs) for intracranial aneurysm flow diversion: In vitro and in silico,Annals of Biomedical Engineering,2013,41(10):2143-56,http://dx.doi.org/10.1007/s10439-013-0808-4
781,CARDIO,"['Virag, L', 'Wilson, JS', 'Humphrey, JD', 'Karsaj, I']",Potential biomechanical roles of risk factors in the evolution of thrombus-laden abdominal aortic aneurysms,International Journal For Numerical Methods In Biomedical Engineering,2017,33:00:00,http://dx.doi.org/10.1002/cnm.2893
782,CARDIO,"['Cuomo, F', 'Roccabianca, S', 'Dillon-Murphy, D', 'Xiao, N', 'Humphrey, JD', 'Figueroa, CA']",Effects of age-associated regional changes in aortic stiffness on human hemodynamics revealed by computational modeling,Plos One,2017,12:00,http://dx.doi.org/10.1371/journal.pone.0173177
783,CARDIO,"['Bellini, C', 'Kristofik, NJ', 'Bersi, MR', 'Kyriakides, TR', 'Humphrey, JD']",A hidden structural vulnerability in the thrombospondin-2 deficient aorta increases the propensity to intramural delamination,Journal Of The Mechanical Behavior Of Biomedical Materials,2017,71:397-406,http://dx.doi.org/10.1016/j.jmbbm.2017.01.045
784,CARDIO,"['Bhatt, SP', 'Bodduluri, S', 'Newell, JD', 'Hoffman, EA', 'Sieren, JC', 'Han, MK', 'Dransfield, MT', 'Reinhardt, JM']",Ct-derived biomechanical metrics improve agreement between spirometry and emphysema,Academic Radiology,2016,23:1255-1263,http://dx.doi.org/10.1016/j.acra.2016.02.002
785,CARDIO,"['Hajirayat, K', 'Gholampour, S', 'Sharifi, I', 'Bizari, D']",Biomechanical simulation to compare the blood hemodynamics and cerebral aneurysm rupture risk in patients with different aneurysm necks,Journal Of Applied Mechanics And Technical Physics,2017,58:968-974,http://dx.doi.org/10.1134/S0021894417060025
786,CARDIO,"['Iablonskii, P', 'Cebotari, S', 'Tudorache, I', 'Granados, M', 'Morticelli, L', 'Goecke, T', 'Klein, N', 'Korossis, S', 'Hilfiker, A', 'Haverich, A']",Tissue-engineered mitral valve: morphology and biomechanics,Interactive Cardiovascular And Thoracic Surgery,2015,20:712-719,http://dx.doi.org/10.1093/icvts/ivv039
787,CARDIO,"['Zhou, B', 'Alshareef, M', 'Prim, D', 'Collins, M', 'Kempner, M', 'Hartstone-Rose, A', 'Eberth, JF', 'Rachev, A', 'Shazly, T']",The perivascular environment along the vertebral artery governs segment-specific structural and mechanical properties,Acta Biomaterialia,2016,45:286-295,http://dx.doi.org/10.1016/j.actbio.2016.09.004
788,CARDIO,"['Hadjadj, L', 'Monori-Kiss, A', 'Horvath, EM', 'Heinzlmann, A', 'Magyar, A', 'Sziva, RE', 'Miklos, Z', 'Pal, E', 'Gal, J', 'Szabo, I', 'Benyo, Z', 'Nadasy, GL', 'Varbiro, S']","Geometric, elastic and contractile-relaxation changes in coronary arterioles induced by vitamin d deficiency in normal and hyperandrogenic female rats",Microvascular Research,2019,122:78-84,http://dx.doi.org/10.1016/j.mvr.2018.11.011
789,CARDIO,"['Li, N', 'Li, Y', 'Gong, DJ', 'Xia, CP', 'Liu, XH', 'Xu, ZY']",Efficient decellularization for bovine pericardium with extracellular matrix preservation and good biocompatibility,Interactive Cardiovascular And Thoracic Surgery,2018,26:768-776,http://dx.doi.org/10.1093/icvts/ivx416
790,CARDIO,"['Ayoub, S', 'Ferrari, G', 'Gorman, RC', 'Gorman, JH', 'Schoen, FJ', 'Sacks, MS']",Heart valve biomechanics and underlying mechanobiology,Comprehensive Physiology,2016,6:1743-1780,http://dx.doi.org/10.1002/cphy.c150048
791,CARDIO,"['Leemans, EL', 'Willems, TP', 'Slump, CH', 'van der Lean, MJ', 'Zeebregts, CJ']",Additional value of biomechanical indices based on cta for rupture risk assessment of abdominal aortic aneurysms,Plos One,2018,13:00,http://dx.doi.org/10.1371/journal.pone.0202672
792,CARDIO,"['Larsson E, Labruto F, Gasser TC, Swedenborg J and Hultgren R']",Analysis of aortic wall stress and rupture risk in patients with abdominal aortic aneurysm with a gender perspective,Journal of Vascular Surgery,2011,54(2):295-9,http://dx.doi.org/10.1016/j.jvs.2010.12.053
793,CARDIO,"['Gelinne, A', 'Ko, NL', 'John, L', 'Brown, L', 'Brown, S', 'Osol, G']",Remodeling and altered biomechanics of the mouse abdominal aorta during and after pregnancy,Reproductive Sciences,2017,24:49-5254-6549-5254-65,
794,CARDIO,"['Adhikari, AS', 'Kooiker, KB', 'Sutton, S', 'Bernstein, D', 'Leinwand, LA', 'Ruppel, KM', 'Spudich, JA']",The effect of pediatric specific hypertrophic cardiomyopathy mutations on the biomechanics of beta cardiac myosin,Biophysical Journal,2016,110:50-5753-6550-5753-65,
795,CARDIO,"['Elhamine, F', 'Iorga, B', 'Kruger, M', 'Hunger, M', 'Eckhardt, J', 'Sreeram, N', 'Bennink, G', 'Brockmeier, K', 'Pfitzer, G', 'Stehle, R']",Postnatal development of right ventricular myofibrillar biomechanics in relation to the sarcomeric protein phenotype in pediatric patients with conotruncal heart defects,Journal Of The American Heart Association,2016,5:00,http://dx.doi.org/10.1161/JAHA.116.003699
