number,topic,authors,title,journal,year,vol_issue,doi
569,GAIT/LOCOMOTION,"['Mohamed, A', 'Sexton, A', 'Simonsen, K', 'McGibbon, CA']",Development of a mechanistic hypothesis linking compensatory biomechanics and stepping asymmetry during gait of transfemoral amputees,Applied Bionics And Biomechanics,2019,NaN:,http://dx.doi.org/10.1155/2019/4769242
570,ANIMAL LOCOMOTION,"['Hieronymus, TL', 'Shapiro, LJ', 'Dunham, NT', 'Mcnamara, A', 'Young, JW']","Assessing the determinants of primate gait kinematics in an ecological and phylogenetic framework, part i: phylogenetic methods for biomechanics",American Journal Of Physical Anthropology,2019,168:103-103,
571,ANIMAL LOCOMOTION,"['Miller, CE', 'Johnson, LE', 'Pinkard, H', 'Lemelin, P', 'Schmitt, D']",Limb phase flexibility in walking: a test case in the squirrel monkey (saimiri sciureus),Frontiers In Zoology,2019,16:00,http://dx.doi.org/10.1186/s12983-019-0299-8
572,ANIMAL LOCOMOTION,"['Goetzke, HH', 'Pattrick, JG', 'Federle, W']",Froghoppers jump from smooth plant surfaces by piercing them with sharp spines,Proceedings Of The National Academy Of Sciences Of The United States Of America,2019,116:3012-3017,http://dx.doi.org/10.1073/pnas.1814183116
573,JOINT/CARTILAGE,"['Paranjape, CS', 'Cutcliffe, HC', 'Grambow, SC', 'Utturkar, GM', 'Collins, AT', 'Garrett, WE', 'Spritzer, CE', 'DeFrate, LE']",A new stress test for knee joint cartilage,Scientific Reports,2019,9:00,http://dx.doi.org/10.1038/s41598-018-38104-2
574,JOINT/CARTILAGE,"['Herzen, J', 'Karampinos, DC', 'Foehr, P', 'Birnbacher, L', 'Viermetz, M', 'Burgkart, R', 'Baum, T', 'Lohoefer, F', 'Wildgruber, M', 'Schilling, F', 'Willner, M', 'Marschner, M', 'Noel, PB', 'Rummeny, EJ', 'Pfeiffer, F', 'Jungmann, PM']","3d grating-based x-ray phase-contrast computed tomography for high-resolution quantitative assessment of cartilage: an experimental feasibility study with 3t mri, 7t mri and biomechanical correlation",Plos One,2019,14:00,http://dx.doi.org/10.1371/journal.pone.0212106
575,JOINT/CARTILAGE,"['Lin, ZP', 'Tang, YY', 'Tan, HC', 'Cai, DZ']",Patellofemoral kinematic characteristics in anterior cruciate ligament deficiency and reconstruction,Bmc Musculoskeletal Disorders,2019,20:00,http://dx.doi.org/10.1186/s12891-019-2456-9
576,JOINT/CARTILAGE,"['Bouaicha, S', 'Ernstbrunner, L', 'Jud, L', 'Meyer, DC', 'Snedeker, JG', 'Bachmann, E']",The lever arm ratio of the rotator cuff to deltoid muscle explains and predicts pseudoparalysis of the shoulder the shoulder abduction moment index,Bone & Joint Journal,2018,4900B:,1600-1608
577,JOINT/CARTILAGE," Shu, L; Ju, XC; Zhang, L",Comparison of articular cartilage degeneration and chondrocyte apoptosis following remnant-preserving versus conventional anterior cruciate ligament reconstruction. Journal Of Biomaterials And Tissue Engineering 2018;8:1543-1550. http://dx.doi.org/10.1166/jbt.2018.1903,,,,
578,JOINT/CARTILAGE," Belluzzi, E; Rossato, M; Olivotto, E; Trisolino, G; Ruggieri, P; Rubini, A; Porzionato, A; Natali, A; De Caro, R; Vettor, R; Ramonda, R; Macchi, V; Favero, M","Quantitative mri analysis of infrapatellar and suprapatellar fat pads in normal controls, moderate and end-stage osteoarthritis. Annals Of Anatomy-Anatomischer Anzeiger 2019;221:108-114. http://dx.doi.org/10.1016/j.aanat.2018.09.007",,,,
579,METHODS,"['Ma, CZH', 'Ling, YT', 'Shea, QTK', 'Wang, LK', 'Wang, XY', 'Zheng, YP']",Towards wearable comprehensive capture and analysis of skeletal muscle activity during human locomotion,Sensors,2019,19:00,http://dx.doi.org/10.3390/s19010195
580,METHODS,"['van der Straaten, R', 'Bruijnes, AKBD', 'Vanwanseele, B', 'Jonkers, I', 'De Baets, L', 'Timmermans, A']",Reliability and agreement of 3d trunk and lower extremity movement analysis by means of inertial sensor technology for unipodal and bipodal tasks,Sensors,2019,19:00,http://dx.doi.org/10.3390/s19010141
581,MODELING,"['Munro, JT', 'Millar, JS', 'Fernandez, JW', 'Walker, CG', 'Howie, DW', 'Shim, VB']",Risk analysis of patients with an osteolytic acetabular defect after total hip arthroplasty using subject-specific finite-element modelling,Bone & Joint Journal,2018,4900B:,1455-1462
582,MODELING," Negahban, A; Cavuoto, L; Megahed, FM",Optimization of split keyboard design for touchscreen devices. International Journal Of Human-Computer Interaction 2019;35:468-477. http://dx.doi.org/10.1080/10447318.2018.1464255,rg,"10.1302/0301-620X....J-2018-0092.R2. Yazdi, MAA",,
583,MUSCLE,"['Kissane, RWP', 'Wright, O', ""Al'Joboori, YD"", 'Marczak, P', 'Ichiyama, RM', 'Egginton, S']",Effects of treadmill training on microvascular remodeling in the rat after spinal cord injury,Muscle & Nerve,2019,59:370-379,http://dx.doi.org/10.1002/mus.26379
584,MUSCLE,"['Diong, J', 'Heroux, ME', 'Gandevia, SC', 'Herbert, RD']",Minimal force transmission between human thumb and index finger muscles under passive conditions,Plos One,2019,14:00,http://dx.doi.org/10.1371/journal.pone.0212496
585,MUSCLE,"['Puksec, M', 'Semenski, D', 'Jezek, D', 'Brncic, M', 'Karlovic, S', 'Jakovcevic, A', 'Bosanac, G', 'Jurlina, M']","Biomechanical comparison of the temporalis muscle fascia, the fascia lata, and the dura mater",Journal Of Neurological Surgery Part B-Skull Base,2019,80:23-30,http://dx.doi.org/10.1055/s-0038-1661349
586,NEURAL,"['Llinares-Benadero, C', 'Borrell, V']","Deconstructing cortical folding: genetic, cellular and mechanical determinants",Nature Reviews Neuroscience,2019,20:161-176,http://dx.doi.org/10.1038/s41583-018-0112-2
587,NEURAL,"['Kottler, B', 'Faville, R', 'Bridi, JC', 'Hirth, F']",Inverse control of turning behavior by dopamine d1 receptor signaling in columnar and ring neurons of the central complex in drosophila,Current Biology,2019,29:567-43,http://dx.doi.org/10.1016/j.cub.2019.01.017
588,NEURAL,"['Sebille, SB', 'Rolland, AS', 'Faillot, M', 'Perez-Garcia, F', 'Colomb-Clerc, A', 'Lau, B', 'Dumas, S', 'Vidal, SF', 'Welter, ML', 'Francois, C', 'Bardinet, E', 'Karachi, C']",Normal and pathological neuronal distribution of the human mesencephalic locomotor region,Movement Disorders,2019,34:218-227,http://dx.doi.org/10.1002/mds.27578
589,NEURAL,"['Chang, CH', 'Lu, KH', 'Lin, WT', 'Chen, SC', 'Shih, WP', 'Lin, CW']",Reversible spasticity suppression and locomotion change after pulsed radiofrequency on the dorsal root ganglia of rats with spinal cord injury,Neuromodulation,2019,22:53-60,http://dx.doi.org/10.1111/ner.12853
590,NEURAL,"['Mierzejewska-Krzyzowska, B', 'Celichowski, J', 'Bukowska, D']",The differences in the structure of the motor nucleus of the medial gastrocnemius muscle in male and female rats,Annals Of Anatomy-Anatomischer Anzeiger,2019,221:93-100,http://dx.doi.org/10.1016/j.aanat.2018.09.002
591,NEURAL,"['Brumley, MR', 'Strain, MM', 'Devine, N', 'Bozeman, AL']","The spinal cord, not to be forgotten: the final common path for development, training and recovery of motor function",Perspectives On Behavior Science,2018,41:369-393,http://dx.doi.org/10.1007/s40614-018-00177-9
592,NEURAL,"['French, CA', 'Veloz, MFV', 'Zhou, KK', 'Peter, S', 'Fisher, SE', 'Costa, RM', 'De Zeeuw, CI']",Differential effects of foxp2 disruption in distinct motor circuits,Molecular Psychiatry,2019,24:447-462,http://dx.doi.org/10.1038/s41380-018-0199-x
593,OBSTETRICS AND GYNECOLOGY,"['El-Neemany, D', ""O'Shaughnessy, D"", 'Grande, D', 'Sajjan, S', 'Jin, C', 'Kohn, N', 'Shalom, D', 'Lind, L', 'Winkler, H']",Histological and biomechanical characteristics of permanent and absorbable sling mesh in a rabbit model: 3-month time point,American Journal Of Obstetrics And Gynecology,2019,220:83-5550-5083-5550-50,http://dx.doi.org/10.1016/j.ajog.2019.01.204
594,OBSTETRICS AND GYNECOLOGY,"['van Raalte, H', 'Shobeiri, S', 'Hoyte, L', 'Lucente, V', 'Takacs, P', 'Sarvazyan, N', 'Egorov, V']",Biomechanical mapping of pelvic floor restoration after prolapse surgery,American Journal Of Obstetrics And Gynecology,2019,220:83-5554-4983-5554-50,http://dx.doi.org/10.1016/j.ajog.2019.01.121
595,ORTHOPAEDICS/SPINE,"['Alvarez, AG', 'Dearn, KD', 'Shepherd, DET']",Design and material evaluation for a novel lumbar disc replacement implanted via unilateral transforaminal approach,Journal Of The Mechanical Behavior Of Biomedical Materials,2019,91:383-390,http://dx.doi.org/10.1016/j.jmbbm.2018.12.011
596,ORTHOPAEDICS/SPINE,"['Salib, CG', 'Reina, N', 'Perry, KI', 'Taunton, MJ', 'Berry, DJ', 'Abdel, MP']",Lumbar fusion involving the sacrum increases dislocation risk in primary total hip arthroplasty,Bone & Joint Journal,2019,4901B:,198-206
597,ORTHOPAEDICS/SPINE," Izquierdo, ML; Clausen, JD; Liodakis, E; Mommsen, P; Blossey, R; Krettek, C; Zeckey, C",Fractures of the transverse processes of the fourth and fifth lumbar vertebrae in patients with pelvic ring injuries indicator of biomechanical instability but not shock. Bone & Joint Journal 2018;4900B:. 1214-1219,rg,"10.1302/0301-620X....J-2018-0754.R1. Winkelmann, M",,
598,ORTHOPAEDICS/SPINE,"['Gan, KF', 'Zhou, K', 'Hu, KQ', 'Lu, LJ', 'Gu, SR', 'Shen, YD']",Dynamic fixation versus static fixation for distal tibiofibular syndesmosis injuries: a meta-analysis,Medical Science Monitor,2019,25:1314-1322,http://dx.doi.org/10.12659/MSM.913324
599,ORTHOPAEDICS/SPINE,"['Wallace, M', 'Johnson, DB', 'Pierce, W', 'Iobst, C', 'Riccio, A', 'Wimberly, RL']",Biomechanical assessment of torsional stiffness in a supracondylar humerus fracture model,Journal Of Pediatric Orthopaedics,2019,39:69-5049-4869-5049-53,http://dx.doi.org/10.1097/BPO.0000000000001270
600,ORTHOPAEDICS/SPINE,"['Guo, JL', 'Dong, WC', 'Yin, B', 'Jin, L', 'Lin, Z', 'Hou, ZY', 'Zhang, YZ']",Intramedullary nails with cannulated screw fixation for the treatment of unstable femoral neck fractures,Journal Of International Medical Research,2019,47:557-568,http://dx.doi.org/10.1177/0300060518816185
601,ORTHOPAEDICS/SPINE,"['Wang, L', 'Huang, LJ', 'Li, XF', 'Zhong, DX', 'Li, DC', 'Cao, TS', 'Yang, SH', 'Yan, XL', 'Zhao, JB', 'He, JK', 'Cao, Y', 'Wang, L']",Three-dimensional printing peek implant: a novel choice for the reconstruction of chest wall defect,Annals Of Thoracic Surgery,2019,107:921-928,http://dx.doi.org/10.1016/j.athoracsur.2018.09.044
602,ORTHOPAEDICS/SPINE,"['Cao, YS', 'Zhang, Y', 'Huang, LX', 'Huang, XW']","The impact of plate length, fibula integrity and plate placement on tibial shaft fixation stability: a finite element study",Journal Of Orthopaedic Surgery And Research,2019,14:00,http://dx.doi.org/10.1186/s13018-019-1088-y
603,PROSTHETICS/ORTHOTICS,"['Prochor, P', 'Sajewicz, E']",A comparative analysis of standardised threads for use in implants for direct skeletal attachment of limb prosthesis: a finite element analysis,Applied Bionics And Biomechanics,2019,NaN:,http://dx.doi.org/10.1155/2019/8027064
604,ROBOTICS/BIOMIMETICS,"['Wang, H', 'Shi, JD', 'Wang, JZ', 'Wang, HF', 'Feng, YM', 'You, Y']",Design and modeling of a novel transformable land/air robot,International Journal Of Aerospace Engineering,2019,NaN:,http://dx.doi.org/10.1155/2019/2064131
605,ROBOTICS/BIOMIMETICS,"['Nguyen, CT', 'Phung, H', 'Hoang, PT', 'Nguyen, TD', 'Jung, H', 'Choi, HR']",Development of an insect-inspired hexapod robot actuated by soft actuators,Journal Of Mechanisms And Robotics-Transactions Of The Asme,2018,10:00,http://dx.doi.org/10.1115/1.4041258
606,WEARABLE TECHNOLOGY/ENERGY HARVESTING,"['Pandey, R', 'Raj, NPMJ', 'Singh, V', 'Anand, PI', 'Kim, SJ']",Novel interfacial bulk heterojunction technique for enhanced response in zno nanogenerator,Acs Applied Materials & Interfaces,2019,11:6078-6088,http://dx.doi.org/10.1021/acsami.8b19321
607,WEARABLE TECHNOLOGY/ENERGY HARVESTING,"['Gong, W', 'Hou, CY', 'Zhou, J', 'Guo, YB', 'Zhang, W', 'Li, YG', 'Zhang, QH', 'Wang, HZ']",Continuous and scalable manufacture of amphibious energy yarns and textiles,Nature Communications,2019,10:00,http://dx.doi.org/10.1038/s41467-019-08846-2
608,SPORT/EXERCISE,"['Sato, N', 'Nunome, H', 'Hopper, LS', 'Ikegami, Y']",Ankle taping can reduce external ankle joint moments during drop landings on a tilted surface,Sports Biomechanics,2019,18:28-38,http://dx.doi.org/10.1080/14763141.2017.1375552
609,SPORT/EXERCISE,"['de Castro, MP', 'Fonseca, P', 'Morais, ST', 'Borgonovo-Santos, M', 'Coelho, EFC', 'Ribeiro, DC', 'Vilas-Boas, JP']",Functional shoulder ratios with high velocities of shoulder internal rotation are most sensitive to determine shoulder rotation torque imbalance: a cross-sectional study with elite handball players and controls,Sports Biomechanics,2019,18:39-50,http://dx.doi.org/10.1080/14763141.2017.1380222
610,SPORT/EXERCISE,"['Oi, T', 'Yoshiya, S', 'Slowik, J', 'Diffendaffer, A', 'Takagi, Y', 'Tanaka, H', 'Nobuhara, K', 'Fleisig, GS']",Biomechanical differences between japanese and american professional baseball pitchers,Orthopaedic Journal Of Sports Medicine,2019,7:00,http://dx.doi.org/10.1177/2325967119825625
611,SPORT/EXERCISE,"['Dauty, M', 'Menu, P', 'Garraud, T', 'Mesland, O', 'Berlivet, T', 'Metayer, B', 'Fouasson-Chailloux, A']","Jumper's knee mechanical consequences in professional basketball players: the ""camel's back curve""",European Journal Of Applied Physiology,2019,119:735-742,http://dx.doi.org/10.1007/s00421-018-04064-8
612,SPORT/EXERCISE,"['Warmenhoven, J', 'Cobley, S', 'Draper, C', 'Harrison, A', 'Bargary, N', 'Smith, R']",Bivariate functional principal components analysis: considerations for use with multivariate movement signatures in sports biomechanics,Sports Biomechanics,2019,18:10-27,http://dx.doi.org/10.1080/14763141.2017.1384050
613,SPORT/EXERCISE,"['Lorenzetti, S', 'Ammann, F', 'Windmuller, S', 'Haberle, R', 'Muller, S', 'Gross, M', 'Pluss, M', 'Pluss, S', 'Schodler, B', 'Hubner, K']","Conditioning exercises in ski jumping: biomechanical relationship of squat jumps, imitation jumps, and hill jumps",Sports Biomechanics,2019,18:63-74,http://dx.doi.org/10.1080/14763141.2017.1383506
614,SPORT/EXERCISE,"['Funken, J', 'Heinrich, K', 'Willwacher, S', 'Muller, R', 'Bocker, J', 'Hobara, H', 'Bruggemann, GP', 'Potthast, W']",Leg amputation side determines performance in curve sprinting: a case study on a paralympic medalist,Sports Biomechanics,2019,18:75-87,http://dx.doi.org/10.1080/14763141.2017.1384051
615,TENDON/LIGAMENT,"['Sinclair, J', 'Brooks, D', 'Stainton, P']",Sex differences in acl loading and strain during typical athletic movements: a musculoskeletal simulation analysis,European Journal Of Applied Physiology,2019,119:713-721,http://dx.doi.org/10.1007/s00421-018-04062-w
616,TENDON/LIGAMENT,"['Polykandriotis, E', 'Besrour, F', 'Arkudas, A', 'Ruppe, F', 'Zetzmann, K', 'Braeuer, L', 'Horch, RE']",Flexor tendon repair with a polytetrafluoroethylene (ptfe) suture material,Archives Of Orthopaedic And Trauma Surgery,2019,139:429-434,http://dx.doi.org/10.1007/s00402-018-03105-3
617,TENDON/LIGAMENT,"['Polak-Krasna, K', 'Robak-Nawrocka, S', 'Szotek, S', 'Czyz, M', 'Gheek, D', 'Pezowicz, C']",The denticulate ligament - tensile characterisation and finite element micro-scale model of the structure stabilising spinal cord,Journal Of The Mechanical Behavior Of Biomedical Materials,2019,91:10-17,http://dx.doi.org/10.1016/j.jmbbm.2018.11.017
618,TENDON/LIGAMENT,"['Hohmann, E', 'Keough, N', 'Glatt, V', 'Tetsworth, K', 'Putz, R', 'Imhoff, A']",The mechanical properties of fresh versus fresh/frozen and preserved (thiel and formalin) long head of biceps tendons: a cadaveric investigation,Annals Of Anatomy-Anatomischer Anzeiger,2019,221:186-191,http://dx.doi.org/10.1016/j.aanat.2018.05.002
619,TENDON/LIGAMENT,"['Benca, E', 'Willegger, M', 'Wenzel, F', 'Hirtler, L', 'Zandieh, S', 'Windhager, R', 'Schuh, R']",Biomechanical evaluation of two methods of fixation of a flexor hallucis longus tendon graft,Bone & Joint Journal,2018,4900B:,1175-1181
620,TENDON/LIGAMENT,"['Edwards, JH', 'Ingham, E', 'Herbert, A']",Decellularisation affects the strain rate dependent and dynamic mechanical properties of a xenogeneic tendon intended for anterior cruciate ligament replacement,Journal Of The Mechanical Behavior Of Biomedical Materials,2019,91:18-23,http://dx.doi.org/10.1016/j.jmbbm.2018.11.023
621,TENDON/LIGAMENT,"['Guzel, S', 'Ozay, Y', 'Kumas, M', 'Uzun, C', 'Ozkorkmaz, EG', 'Yildirim, Z', 'Ulger, M', 'Guler, G', 'Celik, A', 'Camlica, Y', 'Kahraman, A']","Wound healing properties, antimicrobial and antioxidant activities of salvia kronenburgii rech","f. and salvia euphratica montbret, aucher & rech. f. var. euphratica on excision and incision wound models in diabetic rats. Biomedicine & Pharmacotherapy",2019,111:1260-1276,http://dx.doi.org/10.1016/j.biopha.2019.01.038
622,TENDON/LIGAMENT,"['Johnson, S', 'Schultz, M', 'Scholze, M', 'Smith, T', 'Woodfield, J', 'Hammer, N']",How much force is required to perforate a colon during colonoscopy? an experimental study,Journal Of The Mechanical Behavior Of Biomedical Materials,2019,91:139-148,http://dx.doi.org/10.1016/j.jmbbm.2018.11.024
623,TENDON/LIGAMENT,"['Ponder, RI', 'Safaei, M', 'Anton, SR']",Fabrication and selection of surrogate knee implant bearings for experimental evaluation of embedded in-vivo sensors,Journal Of The Mechanical Behavior Of Biomedical Materials,2019,91:237-246,http://dx.doi.org/10.1016/j.jmbbm.2018.12.018
624,TENDON/LIGAMENT,"['Genovese, K']",An omnidirectional dic system for dynamic strain measurement on soft biological tissues and organs,Optics And Lasers In Engineering,2019,116:6-18,http://dx.doi.org/10.1016/j.optlaseng.2018.12.006
625,TENDON/LIGAMENT,"['Bhunia, BK', 'Mandal, BB']",Exploring gelation and physicochemical behavior of in situ bioresponsive silk hydrogels for disc degeneration therapy,Acs Biomaterials Science & Engineering,2019,5:870-886,http://dx.doi.org/10.1021/acsbiomaterials.8b01099
626,TRAUMA/IMPACT TESTING,"['Urban, JE', 'Kelley, ME', 'Espeland, MA', 'Davenport, EM', 'Whitlow, CT', 'Powers, AK', 'Maldjian, JA', 'Stitzel, JD']",In-season variations in head impact exposure among youth football players,Journal Of Neurotrauma,2019,36:275-281,http://dx.doi.org/10.1089/neu.2018.5699
627,VISUAL/VESTIBULAR/EYE,"['Hwang, HS', 'Kim, EC', 'Kim, MS', 'Yang, SW']",A novel method for quantifying the biomechanical parameters of orbital soft tissue using a corneal dynamic scheimpflug analyser: a retrospective study,Bmc Ophthalmology,2019,19:00,http://dx.doi.org/10.1186/s12886-019-1064-7
628,VISUAL/VESTIBULAR/EYE,"['Maczynska, E', 'Karnowski, K', 'Szulzycki, K', 'Malinowska, M', 'Dolezyczek, H', 'Cichanski, A', 'Wojtkowski, M', 'Kaluzny, B', 'Grulkowski, I']",Assessment of the influence of viscoelasticity of cornea in animal ex vivo model using air-puff optical coherence tomography and corneal hysteresis,Journal Of Biophotonics,2019,12:00,http://dx.doi.org/10.1002/jbio.201800154
629,VISUAL/VESTIBULAR/EYE,"['Otani, T', 'Tanaka, M']",Unloaded shape identification of human cornea by variational shape optimization,Computer Methods In Biomechanics And Biomedical Engineering,2018,21:795-802,http://dx.doi.org/10.1080/10255842.2018.1521962
630,BONE,"['Gorustovich, AA', 'Nielsen, FH']",Effects of nutritional deficiency of boron on the bones of the appendicular skeleton of mice,Biological Trace Element Research,2019,188:221-229,http://dx.doi.org/10.1007/s12011-018-1499-3
631,BONE,"['Baumann, L', 'Kauschke, V', 'Vikman, A', 'Durselen, L', 'Krasteva-Christ, G', 'Kampschulte, M', 'Heiss, C', 'Yee, KT', 'Vetter, DE', 'Lips, KS']",Deletion of nicotinic acetylcholine receptor alpha9 in mice resulted in altered bone structure,Bone,2019,120:285-296,http://dx.doi.org/10.1016/j.bone.2018.11.003
632,BONE,"['Metzger, CE', 'Gong, S', 'Aceves, M', 'Bloomfield, SA', 'Hook, MA']",Osteocytes reflect a pro-inflammatory state following spinal cord injury in a rodent model,Bone,2019,120:465-475,http://dx.doi.org/10.1016/j.bone.2018.12.007
633,BONE,"['Macintosh, AA', 'Stock, JT']",Intensive terrestrial or marine locomotor strategies are associated with inter- and intra-limb bone functional adaptation in living female athletes,American Journal Of Physical Anthropology,2019,168:566-581,http://dx.doi.org/10.1002/ajpa.23773
634,BONE,"['Jiang, M', 'Wang, TQ', 'Yan, XM', 'Liu, ZC', 'Yan, YF', 'Yang, K', 'Qi, J', 'Zhou, HB', 'Qian, ND', 'Zhou, Q', 'Chen, B', 'Xu, X', 'Xi, XB', 'Yang, CH', 'Deng, LF']",A novel rhein derivative modulates bone formation and resorption and ameliorates estrogen-dependent bone loss,Journal Of Bone And Mineral Research,2019,34:361-374,http://dx.doi.org/10.1002/jbmr.3604
635,BONE,"['Tanaka, K', 'Kanazawa, T', 'Gotoh, M', 'Tanesue, R', 'Nakamura, H', 'Ohzono, H', 'Okawa, T', 'Shiba, N']",Effects of estrogen-deficient state on rotator cuff healing,American Journal Of Sports Medicine,2019,47:389-397,http://dx.doi.org/10.1177/0363546518815869
636,BONE,"['Macedo, JP', 'Pereira, J', 'Faria, J', 'Souza, JCM', 'Alves, JL', 'Lopez-Lopez, J', 'Henriques, B']",Finite element analysis of peri-implant bone volume affected by stresses around morse taper implants: effects of implant positioning to the bone crest,Computer Methods In Biomechanics And Biomedical Engineering,2018,21:655-662,http://dx.doi.org/10.1080/10255842.2018.1507025
637,BONE,"['Lewton, KL', 'Ritznnan, T', 'Copes, LE', 'Garland, T', 'Capellini, TD']",Exercise-induced loading increases ilium cortical area in a selectively bred mouse model,American Journal Of Physical Anthropology,2019,168:543-551,http://dx.doi.org/10.1002/ajpa.23770
638,BOTANY,"['Conte, P', 'Fiore, V', 'Valenza, A']",Structural and mechanical modification induced by water content in giant wild reed (a,donax l.). Acs Omega,2018,3:18510-18517,http://dx.doi.org/10.1021/acsomega.8b02649
639,BOTANY,"['Bunce, A', 'Volin, JC', 'Miller, DR', 'Parent, J', 'Rudnicki, M']",Determinants of tree sway frequency in temperate deciduous forests of the northeast united states,Agricultural And Forest Meteorology,2019,266:87-96,http://dx.doi.org/10.1016/j.agrformet.2018.11.020
640,CARDIOVASCULAR/CARDIOPULMONARY,"['Vashistha, R', 'Kumar, P', 'Dangi, AK', 'Sharma, N', 'Chhabra, D', 'Shukla, P']",Quest for cardiovascular interventions: precise modeling and 3d printing of heart valves,Journal Of Biological Engineering,2019,13:00,http://dx.doi.org/10.1186/s13036-018-0132-5
641,CARDIOVASCULAR/CARDIOPULMONARY,"['Liang, N', 'Iwamoto, GA', 'Downey, RM', 'Mitchell, JH', 'Smith, SA', 'Mizuno, M']",The pressor response to concurrent stimulation of the mesencephalic locomotor region and peripheral sensory afferents is attenuated in normotensive but not hypertensive rats,Frontiers In Physiology,2019,10:00,http://dx.doi.org/10.3389/fphys.2019.00095
642,CARDIOVASCULAR/CARDIOPULMONARY,"['Johnson, R', 'Ding, YH', 'Nagiah, N', 'Monnet, E', 'Tan, W']",Coaxially-structured fibres with tailored material properties for vascular graft implant,Materials Science & Engineering C-Materials For Biological Applications,2019,97:1-11,http://dx.doi.org/10.1016/j.msec.2018.11.036
643,CARDIOVASCULAR/CARDIOPULMONARY,"['Farajpour, A', 'Ghayesh, MH', 'Farokhi, H']",A coupled nonlinear continuum model for bifurcation behaviour of fluid-conveying nanotubes incorporating internal energy loss,Microfluidics And Nanofluidics,2019,23:00,http://dx.doi.org/10.1007/s10404-019-2199-9
644,CARDIOVASCULAR/CARDIOPULMONARY,"['Tian, S', 'Fan, XY', 'Wang, YW', 'Liu, ZH', 'Wang, LZ']",An in vitro experimental study on the relationship between pulsatile tinnitus and the dehiscence/thinness of sigmoid sinus cortical plate,Journal Of Biomechanics,2019,84:197-203,http://dx.doi.org/10.1016/j.jbiomech.2018.12.049
645,CELLULAR/SUBCELLULAR,"['Campos-Rodriguez, C', 'Trujillo-Ferrara, JG', 'Alvarez-Guerra, A', 'Vargas, IMC', 'Cuevas-Hernandez, RI', 'Andrade-Jorge, E', 'Zamudio, S', 'Juan, ERS']",Neuropharmacological screening of chiral and non-chiral phthalimide-containing compounds in mice: in vivo and in silico experiments,Medicinal Chemistry,2019,15:102-118,http://dx.doi.org/10.2174/1573406414666180525082038
646,CELLULAR/SUBCELLULAR,"['Chen, B', 'Tjahja, J', 'Malla, S', 'Liebman, C', 'Cho, M']",Astrocyte viability and functionality in spatially confined microcavitation zone,Acs Applied Materials & Interfaces,2019,11:4889-4899,http://dx.doi.org/10.1021/acsami.8b21410
647,CELLULAR/SUBCELLULAR,"['Ye, T', 'Shi, HX', 'Nhan, PT', 'Lim, CT', 'Li, Y']",Numerical design of a microfluidic chip for probing mechanical properties of cells,Journal Of Biomechanics,2019,84:103-112,http://dx.doi.org/10.1016/j.jbiomech.2018.12.019
648,CELLULAR/SUBCELLULAR,"['Scapin, G', 'Cillis, J', 'Patch, T', 'Dharampuriya, PR', 'Hagedorn, EJ', 'Lundin, V', 'Tamplin, OJ', 'Andeson, H', 'Zon, LI', 'Daley, GQ', 'Shah, DI']",Piezo1-sensitive biomechanical pulsation stimulates long-term hematopoietic stem cell formation,Blood,2018,132:00:00,http://dx.doi.org/10.1182/blood-2018-99-110265
649,COMPARATIVE,"['Xu, P', 'Damschroder, D', 'Zhang, M', 'Ryall, KA', 'Adler, PN', 'Saucerman, JJ', 'Wessells, RJ', 'Yan, Z']","Atg2, atg9 and atg18 in mitochondrial integrity, cardiac function and healthspan in drosophila",Journal Of Molecular And Cellular Cardiology,2019,127:116-124,http://dx.doi.org/10.1016/j.yjmcc.2018.12.006
650,DENTAL/ORAL/FACIAL,"['Lohmann, A', 'Keilig, L', 'Heinemann, F', 'Bourauel, C', 'Hasan, I']",Numerical investigation of complete mandibular dentures stabilized by conventional or mini implants in patient individual models,Biomedical Engineering-Biomedizinische Technik,2019,64:103-110,http://dx.doi.org/10.1515/bmt-2017-0137
651,DENTAL/ORAL/FACIAL,"['Arifagaoglu, O', 'Oncul, S', 'Ercan, A', 'Olcay, O', 'Ersu, B']",Hgf-1 proliferation on titanium dental implants treated with laser melting technology,Nigerian Journal Of Clinical Practice,2019,22:251-257,http://dx.doi.org/10.4103/njcp.njcp_364_18
652,DENTAL/ORAL/FACIAL,"['Liu, Z', 'Shu, JH', 'Zhang, YL', 'Fan, YB']",The biomechanical effects of sagittal split ramus osteotomy on temporomandibular joint,Computer Methods In Biomechanics And Biomedical Engineering,2018,21:617-624,http://dx.doi.org/10.1080/10255842.2018.1504034
653,ERGONOMICS,"['Jain, R', 'Meena, ML', 'Sain, MK', 'Dangayach, GS']",Pulling force prediction using neural networks,International Journal Of Occupational Safety And Ergonomics,2019,25:194-199,http://dx.doi.org/10.1080/10803548.2018.1443899
654,EVOLUTION/ANTHROPOLOGY,"['Tarquini, J', 'Morgan, CC', 'Toledo, N', 'Soibelzon, LH']","Comparative osteology and functional morphology of the forelimb of cyonasua (mammalia, procyonidae), the first south american carnivoran",Journal Of Morphology,2019,280:446-470,http://dx.doi.org/10.1002/jmor.20956
655,EVOLUTION/ANTHROPOLOGY,"['Pickering, TR', 'Heaton, JL', 'Clarke, RJ', 'Stratford, D']","Hominin vertebrae and upper limb bone fossils from sterkfontein caves, south africa (1998-2003 excavations)",American Journal Of Physical Anthropology,2019,168:459-480,http://dx.doi.org/10.1002/ajpa.23758
